nm,Abs,
600.00,  0.027,
599.00,  0.027,
598.00,  0.028,
597.00,  0.028,
596.00,  0.029,
595.00,  0.030,
594.00,  0.030,
593.00,  0.031,
592.00,  0.032,
591.00,  0.032,
590.00,  0.033,
589.00,  0.034,
588.00,  0.035,
587.00,  0.035,
586.00,  0.036,
585.00,  0.037,
584.00,  0.038,
583.00,  0.038,
582.00,  0.039,
581.00,  0.040,
580.00,  0.040,
579.00,  0.042,
578.00,  0.042,
577.00,  0.043,
576.00,  0.044,
575.00,  0.044,
574.00,  0.045,
573.00,  0.045,
572.00,  0.046,
571.00,  0.047,
570.00,  0.047,
569.00,  0.048,
568.00,  0.049,
567.00,  0.050,
566.00,  0.051,
565.00,  0.051,
564.00,  0.052,
563.00,  0.053,
562.00,  0.053,
561.00,  0.054,
560.00,  0.054,
559.00,  0.055,
558.00,  0.056,
557.00,  0.057,
556.00,  0.058,
555.00,  0.058,
554.00,  0.059,
553.00,  0.059,
552.00,  0.060,
551.00,  0.061,
550.00,  0.061,
549.00,  0.062,
548.00,  0.062,
547.00,  0.063,
546.00,  0.063,
545.00,  0.064,
544.00,  0.065,
543.00,  0.066,
542.00,  0.066,
541.00,  0.067,
540.00,  0.068,
539.00,  0.069,
538.00,  0.069,
537.00,  0.069,
536.00,  0.070,
535.00,  0.071,
534.00,  0.071,
533.00,  0.072,
532.00,  0.073,
531.00,  0.073,
530.00,  0.073,
529.00,  0.074,
528.00,  0.075,
527.00,  0.075,
526.00,  0.076,
525.00,  0.076,
524.00,  0.076,
523.00,  0.077,
522.00,  0.077,
521.00,  0.077,
520.00,  0.078,
519.00,  0.078,
518.00,  0.078,
517.00,  0.079,
516.00,  0.079,
515.00,  0.079,
514.00,  0.079,
513.00,  0.079,
512.00,  0.079,
511.00,  0.080,
510.00,  0.080,
509.00,  0.080,
508.00,  0.080,
507.00,  0.080,
506.00,  0.080,
505.00,  0.080,
504.00,  0.080,
503.00,  0.080,
502.00,  0.080,
501.00,  0.079,
500.00,  0.080,
499.00,  0.080,
498.00,  0.079,
497.00,  0.079,
496.00,  0.079,
495.00,  0.079,
494.00,  0.079,
493.00,  0.079,
492.00,  0.079,
491.00,  0.079,
490.00,  0.078,
489.00,  0.078,
488.00,  0.078,
487.00,  0.078,
486.00,  0.078,
485.00,  0.078,
484.00,  0.078,
483.00,  0.078,
482.00,  0.078,
481.00,  0.078,
480.00,  0.078,
479.00,  0.078,
478.00,  0.078,
477.00,  0.078,
476.00,  0.078,
475.00,  0.078,
474.00,  0.078,
473.00,  0.078,
472.00,  0.078,
471.00,  0.078,
470.00,  0.078,
469.00,  0.078,
468.00,  0.078,
467.00,  0.078,
466.00,  0.078,
465.00,  0.078,
464.00,  0.078,
463.00,  0.078,
462.00,  0.078,
461.00,  0.078,
460.00,  0.078,
459.00,  0.078,
458.00,  0.078,
457.00,  0.078,
456.00,  0.078,
455.00,  0.078,
454.00,  0.077,
453.00,  0.078,
452.00,  0.078,
451.00,  0.078,
450.00,  0.078,
449.00,  0.078,
448.00,  0.078,
447.00,  0.077,
446.00,  0.077,
445.00,  0.077,
444.00,  0.077,
443.00,  0.077,
442.00,  0.077,
441.00,  0.077,
440.00,  0.077,
439.00,  0.076,
438.00,  0.077,
437.00,  0.077,
436.00,  0.077,
435.00,  0.077,
434.00,  0.077,
433.00,  0.076,
432.00,  0.077,
431.00,  0.077,
430.00,  0.077,
429.00,  0.077,
428.00,  0.076,
427.00,  0.076,
426.00,  0.077,
425.00,  0.077,
424.00,  0.077,
423.00,  0.076,
422.00,  0.076,
421.00,  0.076,
420.00,  0.076,
419.00,  0.076,
418.00,  0.076,
417.00,  0.076,
416.00,  0.077,
415.00,  0.076,
414.00,  0.077,
413.00,  0.076,
412.00,  0.077,
411.00,  0.077,
410.00,  0.077,
409.00,  0.077,
408.00,  0.078,
407.00,  0.078,
406.00,  0.078,
405.00,  0.079,
404.00,  0.079,
403.00,  0.079,
402.00,  0.080,
401.00,  0.080,
400.00,  0.081,
399.00,  0.082,
398.00,  0.082,
397.00,  0.083,
396.00,  0.084,
395.00,  0.085,
394.00,  0.086,
393.00,  0.087,
392.00,  0.088,
391.00,  0.088,
390.00,  0.090,
389.00,  0.090,
388.00,  0.092,
387.00,  0.093,
386.00,  0.094,
385.00,  0.095,
384.00,  0.097,
383.00,  0.098,
382.00,  0.100,
381.00,  0.101,
380.00,  0.102,
379.00,  0.104,
378.00,  0.106,
377.00,  0.107,
376.00,  0.109,
375.00,  0.111,
374.00,  0.113,
373.00,  0.115,
372.00,  0.118,
371.00,  0.120,
370.00,  0.124,
369.00,  0.127,
368.00,  0.130,
367.00,  0.133,
366.00,  0.136,
365.00,  0.141,
364.00,  0.147,
363.00,  0.154,
362.00,  0.155,
361.00,  0.156,
360.00,  0.163,
359.00,  0.173,
358.00,  0.176,
357.00,  0.185,
356.00,  0.191,
355.00,  0.191,
354.00,  0.198,
353.00,  0.198,
352.00,  0.207,
351.00,  0.225,
350.00,  0.226,
349.00,  0.236,
348.00,  0.251,
347.00,  0.257,
346.00,  0.262,
345.00,  0.279,
344.00,  0.280,
343.00,  0.292,
342.00,  0.300,
341.00,  0.308,
340.00,  0.327,
339.00,  0.336,
338.00,  0.346,
337.00,  0.364,
336.00,  0.375,
335.00,  0.378,
334.00,  0.388,
333.00,  0.398,
332.00,  0.402,
331.00,  0.413,
330.00,  0.423,
329.00,  0.430,
328.00,  0.437,
327.00,  0.446,
326.00,  0.454,
325.00,  0.465,
324.00,  0.469,
323.00,  0.478,
322.00,  0.489,
321.00,  0.496,
320.00,  0.507,
319.00,  0.513,
318.00,  0.523,
317.00,  0.526,
316.00,  0.526,
315.00,  0.541,
314.00,  0.551,
313.00,  0.555,
312.00,  0.566,
311.00,  0.572,
310.00,  0.580,
309.00,  0.594,
308.00,  0.595,
307.00,  0.602,
306.00,  0.613,
305.00,  0.626,
304.00,  0.624,
303.00,  0.635,
302.00,  0.655,
301.00,  0.656,
300.00,  0.678,
299.00,  0.694,
298.00,  0.697,
297.00,  0.719,
296.00,  0.751,
295.00,  0.814,
294.00,  0.849,
293.00,  0.892,
292.00,  0.931,
291.00,  0.979,
290.00,  1.041,
289.00,  1.110,
288.00,  1.182,
287.00,  1.251,
286.00,  1.334,
285.00,  1.399,
284.00,  1.458,
283.00,  1.517,
282.00,  1.572,
281.00,  1.624,
280.00,  1.671,
279.00,  1.718,
278.00,  1.757,
277.00,  1.801,
276.00,  1.842,
275.00,  1.883,
274.00,  1.912,
273.00,  1.938,
272.00,  1.969,
271.00,  1.986,
270.00,  1.996,
269.00,  2.010,
