nm,Abs,
600.00,  0.028,
599.00,  0.029,
598.00,  0.029,
597.00,  0.030,
596.00,  0.030,
595.00,  0.031,
594.00,  0.031,
593.00,  0.032,
592.00,  0.032,
591.00,  0.033,
590.00,  0.034,
589.00,  0.035,
588.00,  0.035,
587.00,  0.036,
586.00,  0.037,
585.00,  0.037,
584.00,  0.038,
583.00,  0.039,
582.00,  0.039,
581.00,  0.040,
580.00,  0.041,
579.00,  0.041,
578.00,  0.042,
577.00,  0.042,
576.00,  0.043,
575.00,  0.044,
574.00,  0.044,
573.00,  0.045,
572.00,  0.046,
571.00,  0.046,
570.00,  0.047,
569.00,  0.047,
568.00,  0.048,
567.00,  0.049,
566.00,  0.049,
565.00,  0.050,
564.00,  0.050,
563.00,  0.051,
562.00,  0.052,
561.00,  0.052,
560.00,  0.053,
559.00,  0.054,
558.00,  0.054,
557.00,  0.055,
556.00,  0.056,
555.00,  0.056,
554.00,  0.057,
553.00,  0.058,
552.00,  0.058,
551.00,  0.059,
550.00,  0.060,
549.00,  0.060,
548.00,  0.061,
547.00,  0.062,
546.00,  0.062,
545.00,  0.063,
544.00,  0.064,
543.00,  0.065,
542.00,  0.065,
541.00,  0.066,
540.00,  0.067,
539.00,  0.068,
538.00,  0.068,
537.00,  0.069,
536.00,  0.070,
535.00,  0.071,
534.00,  0.071,
533.00,  0.072,
532.00,  0.073,
531.00,  0.073,
530.00,  0.074,
529.00,  0.075,
528.00,  0.076,
527.00,  0.076,
526.00,  0.077,
525.00,  0.077,
524.00,  0.078,
523.00,  0.078,
522.00,  0.079,
521.00,  0.079,
520.00,  0.080,
519.00,  0.080,
518.00,  0.080,
517.00,  0.081,
516.00,  0.081,
515.00,  0.081,
514.00,  0.082,
513.00,  0.082,
512.00,  0.082,
511.00,  0.083,
510.00,  0.083,
509.00,  0.083,
508.00,  0.083,
507.00,  0.083,
506.00,  0.083,
505.00,  0.083,
504.00,  0.083,
503.00,  0.083,
502.00,  0.083,
501.00,  0.083,
500.00,  0.084,
499.00,  0.084,
498.00,  0.084,
497.00,  0.083,
496.00,  0.083,
495.00,  0.083,
494.00,  0.083,
493.00,  0.083,
492.00,  0.083,
491.00,  0.083,
490.00,  0.083,
489.00,  0.083,
488.00,  0.083,
487.00,  0.083,
486.00,  0.083,
485.00,  0.083,
484.00,  0.082,
483.00,  0.083,
482.00,  0.083,
481.00,  0.082,
480.00,  0.083,
479.00,  0.083,
478.00,  0.083,
477.00,  0.083,
476.00,  0.083,
475.00,  0.083,
474.00,  0.083,
473.00,  0.083,
472.00,  0.083,
471.00,  0.083,
470.00,  0.084,
469.00,  0.084,
468.00,  0.084,
467.00,  0.084,
466.00,  0.084,
465.00,  0.084,
464.00,  0.084,
463.00,  0.084,
462.00,  0.084,
461.00,  0.084,
460.00,  0.085,
459.00,  0.084,
458.00,  0.085,
457.00,  0.085,
456.00,  0.085,
455.00,  0.085,
454.00,  0.085,
453.00,  0.085,
452.00,  0.085,
451.00,  0.085,
450.00,  0.085,
449.00,  0.085,
448.00,  0.086,
447.00,  0.086,
446.00,  0.086,
445.00,  0.086,
444.00,  0.086,
443.00,  0.086,
442.00,  0.086,
441.00,  0.086,
440.00,  0.086,
439.00,  0.086,
438.00,  0.086,
437.00,  0.087,
436.00,  0.087,
435.00,  0.087,
434.00,  0.087,
433.00,  0.087,
432.00,  0.087,
431.00,  0.088,
430.00,  0.088,
429.00,  0.088,
428.00,  0.088,
427.00,  0.088,
426.00,  0.089,
425.00,  0.089,
424.00,  0.089,
423.00,  0.089,
422.00,  0.089,
421.00,  0.089,
420.00,  0.089,
419.00,  0.089,
418.00,  0.090,
417.00,  0.090,
416.00,  0.090,
415.00,  0.090,
414.00,  0.091,
413.00,  0.091,
412.00,  0.092,
411.00,  0.092,
410.00,  0.092,
409.00,  0.093,
408.00,  0.093,
407.00,  0.094,
406.00,  0.094,
405.00,  0.095,
404.00,  0.096,
403.00,  0.096,
402.00,  0.097,
401.00,  0.098,
400.00,  0.099,
399.00,  0.101,
398.00,  0.101,
397.00,  0.102,
396.00,  0.104,
395.00,  0.105,
394.00,  0.106,
393.00,  0.107,
392.00,  0.109,
391.00,  0.109,
390.00,  0.111,
389.00,  0.113,
388.00,  0.114,
387.00,  0.116,
386.00,  0.118,
385.00,  0.119,
384.00,  0.121,
383.00,  0.123,
382.00,  0.124,
381.00,  0.126,
380.00,  0.128,
379.00,  0.130,
378.00,  0.132,
377.00,  0.134,
376.00,  0.136,
375.00,  0.139,
374.00,  0.141,
373.00,  0.143,
372.00,  0.147,
371.00,  0.150,
370.00,  0.154,
369.00,  0.157,
368.00,  0.161,
367.00,  0.164,
366.00,  0.168,
365.00,  0.173,
364.00,  0.180,
363.00,  0.187,
362.00,  0.191,
361.00,  0.194,
360.00,  0.200,
359.00,  0.212,
358.00,  0.209,
357.00,  0.221,
356.00,  0.229,
355.00,  0.237,
354.00,  0.242,
353.00,  0.247,
352.00,  0.249,
351.00,  0.261,
350.00,  0.271,
349.00,  0.283,
348.00,  0.292,
347.00,  0.297,
346.00,  0.311,
345.00,  0.330,
344.00,  0.338,
343.00,  0.352,
342.00,  0.358,
341.00,  0.367,
340.00,  0.388,
339.00,  0.398,
338.00,  0.414,
337.00,  0.422,
336.00,  0.430,
335.00,  0.444,
334.00,  0.459,
333.00,  0.469,
332.00,  0.485,
331.00,  0.487,
330.00,  0.502,
329.00,  0.515,
328.00,  0.517,
327.00,  0.529,
326.00,  0.539,
325.00,  0.553,
324.00,  0.557,
323.00,  0.572,
322.00,  0.581,
321.00,  0.594,
320.00,  0.605,
319.00,  0.611,
318.00,  0.619,
317.00,  0.630,
316.00,  0.634,
315.00,  0.647,
314.00,  0.657,
313.00,  0.660,
312.00,  0.678,
311.00,  0.682,
310.00,  0.685,
309.00,  0.705,
308.00,  0.718,
307.00,  0.719,
306.00,  0.725,
305.00,  0.743,
304.00,  0.764,
303.00,  0.754,
302.00,  0.759,
301.00,  0.791,
300.00,  0.807,
299.00,  0.823,
298.00,  0.824,
297.00,  0.868,
296.00,  0.907,
295.00,  0.966,
294.00,  1.010,
293.00,  1.064,
292.00,  1.113,
291.00,  1.175,
290.00,  1.258,
289.00,  1.345,
288.00,  1.437,
287.00,  1.526,
286.00,  1.628,
285.00,  1.700,
284.00,  1.774,
283.00,  1.844,
282.00,  1.895,
281.00,  1.954,
280.00,  2.004,
279.00,  2.047,
278.00,  2.086,
277.00,  2.138,
276.00,  2.175,
275.00,  2.201,
274.00,  2.236,
273.00,  2.263,
272.00,  2.272,
271.00,  2.297,
270.00,  2.289,
269.00,  2.294,
268.00,  2.303,
267.00,  2.299,
266.00,  2.292,
265.00,  2.295,
264.00,  2.277,
263.00,  2.253,
262.00,  2.243,
261.00,  2.227,
260.00,  2.205,
259.00,  2.202,
258.00,  2.187,
257.00,  2.173,
256.00,  2.175,
255.00,  2.176,
254.00,  2.180,
253.00,  2.198,
252.00,  2.218,
251.00,  2.250,
250.00,  2.302,
249.00,  2.347,
248.00,  2.428,
247.00,  2.506,
246.00,  2.582,
245.00,  2.714,
244.00,  2.798,
243.00,  2.917,
242.00,  3.046,
241.00,  3.139,
240.00,  3.189,
239.00,  3.412,
238.00,  3.315,
237.00,  3.372,
236.00,  3.574,
235.00,  3.555,
234.00,  3.390,
233.00,  3.659,
232.00,  3.812,
231.00,  3.416,
230.00,  3.508,
229.00,  3.513,
228.00,  3.468,
227.00,  3.497,
226.00,  3.607,
225.00,  3.458,
224.00,  3.475,
223.00,  3.536,
222.00,  4.036,
221.00,  3.413,
220.00,  3.557,
219.00,  3.393,
218.00,  3.370,
217.00,  3.523,
216.00,  3.427,
215.00,  3.427,
214.00,  4.000,
213.00,  3.436,
212.00,  3.168,
211.00,  3.487,
210.00,  3.429,
209.00,  3.203,
208.00,  3.443,
207.00,  3.301,
206.00,  3.205,
205.00,  3.205,
204.00,  3.196,
203.00,  3.060,
202.00,  2.988,
