nm,Abs,
600.00,  0.025,
599.00,  0.026,
598.00,  0.027,
597.00,  0.027,
596.00,  0.028,
595.00,  0.028,
594.00,  0.029,
593.00,  0.030,
592.00,  0.030,
591.00,  0.031,
590.00,  0.032,
589.00,  0.033,
588.00,  0.033,
587.00,  0.034,
586.00,  0.035,
585.00,  0.035,
584.00,  0.036,
583.00,  0.037,
582.00,  0.038,
581.00,  0.038,
580.00,  0.039,
579.00,  0.040,
578.00,  0.040,
577.00,  0.041,
576.00,  0.042,
575.00,  0.043,
574.00,  0.043,
573.00,  0.044,
572.00,  0.045,
571.00,  0.045,
570.00,  0.046,
569.00,  0.047,
568.00,  0.047,
567.00,  0.048,
566.00,  0.049,
565.00,  0.049,
564.00,  0.050,
563.00,  0.051,
562.00,  0.051,
561.00,  0.052,
560.00,  0.053,
559.00,  0.053,
558.00,  0.054,
557.00,  0.055,
556.00,  0.055,
555.00,  0.056,
554.00,  0.057,
553.00,  0.057,
552.00,  0.058,
551.00,  0.058,
550.00,  0.059,
549.00,  0.060,
548.00,  0.060,
547.00,  0.061,
546.00,  0.061,
545.00,  0.062,
544.00,  0.063,
543.00,  0.063,
542.00,  0.064,
541.00,  0.065,
540.00,  0.065,
539.00,  0.066,
538.00,  0.067,
537.00,  0.067,
536.00,  0.068,
535.00,  0.068,
534.00,  0.069,
533.00,  0.070,
532.00,  0.070,
531.00,  0.071,
530.00,  0.071,
529.00,  0.072,
528.00,  0.073,
527.00,  0.073,
526.00,  0.073,
525.00,  0.074,
524.00,  0.074,
523.00,  0.075,
522.00,  0.075,
521.00,  0.075,
520.00,  0.076,
519.00,  0.076,
518.00,  0.076,
517.00,  0.076,
516.00,  0.077,
515.00,  0.077,
514.00,  0.077,
513.00,  0.077,
512.00,  0.077,
511.00,  0.077,
510.00,  0.078,
509.00,  0.078,
508.00,  0.078,
507.00,  0.078,
506.00,  0.078,
505.00,  0.078,
504.00,  0.078,
503.00,  0.078,
502.00,  0.077,
501.00,  0.077,
500.00,  0.077,
499.00,  0.077,
498.00,  0.077,
497.00,  0.077,
496.00,  0.077,
495.00,  0.077,
494.00,  0.077,
493.00,  0.077,
492.00,  0.077,
491.00,  0.076,
490.00,  0.076,
489.00,  0.076,
488.00,  0.076,
487.00,  0.076,
486.00,  0.076,
485.00,  0.076,
484.00,  0.076,
483.00,  0.076,
482.00,  0.075,
481.00,  0.076,
480.00,  0.076,
479.00,  0.075,
478.00,  0.075,
477.00,  0.075,
476.00,  0.076,
475.00,  0.076,
474.00,  0.076,
473.00,  0.076,
472.00,  0.076,
471.00,  0.076,
470.00,  0.076,
469.00,  0.076,
468.00,  0.076,
467.00,  0.076,
466.00,  0.076,
465.00,  0.076,
464.00,  0.076,
463.00,  0.076,
462.00,  0.076,
461.00,  0.076,
460.00,  0.076,
459.00,  0.076,
458.00,  0.076,
457.00,  0.076,
456.00,  0.076,
455.00,  0.076,
454.00,  0.076,
453.00,  0.076,
452.00,  0.076,
451.00,  0.076,
450.00,  0.076,
449.00,  0.076,
448.00,  0.076,
447.00,  0.076,
446.00,  0.076,
445.00,  0.076,
444.00,  0.076,
443.00,  0.075,
442.00,  0.075,
441.00,  0.075,
440.00,  0.075,
439.00,  0.075,
438.00,  0.075,
437.00,  0.075,
436.00,  0.076,
435.00,  0.075,
434.00,  0.075,
433.00,  0.075,
432.00,  0.075,
431.00,  0.075,
430.00,  0.075,
429.00,  0.075,
428.00,  0.075,
427.00,  0.075,
426.00,  0.075,
425.00,  0.075,
424.00,  0.075,
423.00,  0.075,
422.00,  0.075,
421.00,  0.075,
420.00,  0.075,
419.00,  0.075,
418.00,  0.075,
417.00,  0.075,
416.00,  0.075,
415.00,  0.075,
414.00,  0.075,
413.00,  0.075,
412.00,  0.076,
411.00,  0.076,
410.00,  0.076,
409.00,  0.076,
408.00,  0.077,
407.00,  0.077,
406.00,  0.077,
405.00,  0.078,
404.00,  0.078,
403.00,  0.079,
402.00,  0.079,
401.00,  0.079,
400.00,  0.080,
399.00,  0.081,
398.00,  0.082,
397.00,  0.082,
396.00,  0.083,
395.00,  0.084,
394.00,  0.085,
393.00,  0.086,
392.00,  0.087,
391.00,  0.087,
390.00,  0.089,
389.00,  0.090,
388.00,  0.091,
387.00,  0.092,
386.00,  0.094,
385.00,  0.095,
384.00,  0.096,
383.00,  0.098,
382.00,  0.099,
381.00,  0.100,
380.00,  0.102,
379.00,  0.104,
378.00,  0.105,
377.00,  0.107,
376.00,  0.109,
375.00,  0.111,
374.00,  0.113,
373.00,  0.115,
372.00,  0.119,
371.00,  0.121,
370.00,  0.124,
369.00,  0.127,
368.00,  0.130,
367.00,  0.133,
366.00,  0.136,
365.00,  0.144,
364.00,  0.150,
363.00,  0.153,
362.00,  0.156,
361.00,  0.160,
360.00,  0.171,
359.00,  0.185,
358.00,  0.186,
357.00,  0.192,
356.00,  0.188,
355.00,  0.190,
354.00,  0.205,
353.00,  0.215,
352.00,  0.221,
351.00,  0.227,
350.00,  0.228,
349.00,  0.243,
348.00,  0.253,
347.00,  0.260,
346.00,  0.269,
345.00,  0.289,
344.00,  0.297,
343.00,  0.305,
342.00,  0.313,
341.00,  0.322,
340.00,  0.337,
339.00,  0.348,
338.00,  0.358,
337.00,  0.364,
336.00,  0.375,
335.00,  0.388,
334.00,  0.397,
333.00,  0.411,
332.00,  0.414,
331.00,  0.434,
330.00,  0.442,
