nm,Abs,
600.00,  0.052,
599.00,  0.054,
598.00,  0.055,
597.00,  0.056,
596.00,  0.057,
595.00,  0.058,
594.00,  0.059,
593.00,  0.060,
592.00,  0.061,
591.00,  0.062,
590.00,  0.063,
589.00,  0.064,
588.00,  0.065,
587.00,  0.067,
586.00,  0.068,
585.00,  0.068,
584.00,  0.070,
583.00,  0.071,
582.00,  0.072,
581.00,  0.073,
580.00,  0.074,
579.00,  0.076,
578.00,  0.077,
577.00,  0.078,
576.00,  0.079,
575.00,  0.080,
574.00,  0.081,
573.00,  0.082,
572.00,  0.083,
571.00,  0.084,
570.00,  0.085,
569.00,  0.086,
568.00,  0.087,
567.00,  0.088,
566.00,  0.089,
565.00,  0.091,
564.00,  0.091,
563.00,  0.092,
562.00,  0.093,
561.00,  0.094,
560.00,  0.095,
559.00,  0.096,
558.00,  0.097,
557.00,  0.098,
556.00,  0.100,
555.00,  0.101,
554.00,  0.102,
553.00,  0.103,
552.00,  0.103,
551.00,  0.104,
550.00,  0.105,
549.00,  0.106,
548.00,  0.107,
547.00,  0.108,
546.00,  0.109,
545.00,  0.110,
544.00,  0.111,
543.00,  0.112,
542.00,  0.113,
541.00,  0.115,
540.00,  0.116,
539.00,  0.117,
538.00,  0.118,
537.00,  0.119,
536.00,  0.120,
535.00,  0.121,
534.00,  0.122,
533.00,  0.123,
532.00,  0.124,
531.00,  0.125,
530.00,  0.126,
529.00,  0.127,
528.00,  0.128,
527.00,  0.129,
526.00,  0.130,
525.00,  0.130,
524.00,  0.131,
523.00,  0.132,
522.00,  0.132,
521.00,  0.133,
520.00,  0.133,
519.00,  0.134,
518.00,  0.134,
517.00,  0.135,
516.00,  0.136,
515.00,  0.136,
514.00,  0.136,
513.00,  0.137,
512.00,  0.137,
511.00,  0.137,
510.00,  0.138,
509.00,  0.138,
508.00,  0.138,
507.00,  0.138,
506.00,  0.138,
505.00,  0.138,
504.00,  0.139,
503.00,  0.139,
502.00,  0.138,
501.00,  0.138,
500.00,  0.139,
499.00,  0.139,
498.00,  0.139,
497.00,  0.139,
496.00,  0.139,
495.00,  0.138,
494.00,  0.139,
493.00,  0.139,
492.00,  0.139,
491.00,  0.139,
490.00,  0.138,
489.00,  0.138,
488.00,  0.139,
487.00,  0.139,
486.00,  0.138,
485.00,  0.139,
484.00,  0.138,
483.00,  0.139,
482.00,  0.139,
481.00,  0.139,
480.00,  0.139,
479.00,  0.139,
478.00,  0.139,
477.00,  0.139,
476.00,  0.139,
475.00,  0.140,
474.00,  0.140,
473.00,  0.140,
472.00,  0.140,
471.00,  0.140,
470.00,  0.140,
469.00,  0.141,
468.00,  0.141,
467.00,  0.141,
466.00,  0.141,
