nm,Abs,
600.00,  0.056,
599.00,  0.058,
598.00,  0.059,
597.00,  0.060,
596.00,  0.061,
595.00,  0.062,
594.00,  0.063,
593.00,  0.064,
592.00,  0.065,
591.00,  0.066,
590.00,  0.068,
589.00,  0.069,
588.00,  0.070,
587.00,  0.071,
586.00,  0.073,
585.00,  0.073,
584.00,  0.075,
583.00,  0.076,
582.00,  0.077,
581.00,  0.079,
580.00,  0.080,
579.00,  0.081,
578.00,  0.082,
577.00,  0.083,
576.00,  0.085,
575.00,  0.085,
574.00,  0.086,
573.00,  0.087,
572.00,  0.088,
571.00,  0.090,
570.00,  0.091,
569.00,  0.092,
568.00,  0.093,
567.00,  0.094,
566.00,  0.095,
565.00,  0.096,
564.00,  0.097,
563.00,  0.099,
562.00,  0.099,
561.00,  0.101,
560.00,  0.102,
559.00,  0.103,
558.00,  0.104,
557.00,  0.105,
556.00,  0.106,
555.00,  0.107,
554.00,  0.109,
553.00,  0.109,
552.00,  0.111,
551.00,  0.112,
550.00,  0.113,
549.00,  0.114,
548.00,  0.115,
547.00,  0.116,
546.00,  0.117,
545.00,  0.118,
544.00,  0.119,
543.00,  0.120,
542.00,  0.121,
541.00,  0.123,
540.00,  0.124,
539.00,  0.126,
538.00,  0.126,
537.00,  0.127,
536.00,  0.128,
535.00,  0.130,
534.00,  0.131,
533.00,  0.132,
532.00,  0.133,
531.00,  0.134,
530.00,  0.135,
529.00,  0.136,
528.00,  0.137,
527.00,  0.138,
526.00,  0.139,
525.00,  0.140,
524.00,  0.141,
523.00,  0.141,
522.00,  0.142,
521.00,  0.143,
520.00,  0.143,
519.00,  0.144,
518.00,  0.145,
517.00,  0.145,
516.00,  0.146,
515.00,  0.146,
514.00,  0.147,
513.00,  0.147,
512.00,  0.147,
511.00,  0.148,
510.00,  0.148,
509.00,  0.148,
508.00,  0.149,
507.00,  0.149,
506.00,  0.149,
505.00,  0.149,
504.00,  0.149,
503.00,  0.149,
502.00,  0.149,
501.00,  0.149,
500.00,  0.150,
499.00,  0.150,
498.00,  0.150,
497.00,  0.150,
496.00,  0.150,
495.00,  0.150,
494.00,  0.150,
493.00,  0.150,
492.00,  0.150,
491.00,  0.150,
490.00,  0.150,
489.00,  0.150,
488.00,  0.150,
487.00,  0.150,
486.00,  0.150,
485.00,  0.150,
484.00,  0.150,
483.00,  0.150,
482.00,  0.150,
481.00,  0.150,
480.00,  0.150,
479.00,  0.150,
478.00,  0.150,
477.00,  0.151,
476.00,  0.151,
475.00,  0.151,
474.00,  0.151,
473.00,  0.151,
472.00,  0.151,
471.00,  0.152,
470.00,  0.152,
469.00,  0.152,
468.00,  0.152,
467.00,  0.152,
466.00,  0.152,
465.00,  0.152,
464.00,  0.153,
463.00,  0.153,
462.00,  0.153,
461.00,  0.153,
460.00,  0.153,
459.00,  0.153,
458.00,  0.153,
457.00,  0.153,
456.00,  0.154,
455.00,  0.154,
454.00,  0.154,
453.00,  0.154,
452.00,  0.154,
451.00,  0.154,
450.00,  0.154,
449.00,  0.155,
448.00,  0.154,
447.00,  0.155,
446.00,  0.155,
445.00,  0.155,
444.00,  0.155,
443.00,  0.155,
442.00,  0.155,
441.00,  0.155,
440.00,  0.155,
439.00,  0.155,
438.00,  0.155,
437.00,  0.156,
436.00,  0.156,
435.00,  0.156,
434.00,  0.156,
433.00,  0.156,
432.00,  0.156,
431.00,  0.156,
430.00,  0.157,
429.00,  0.157,
428.00,  0.157,
427.00,  0.157,
426.00,  0.157,
425.00,  0.158,
424.00,  0.158,
423.00,  0.158,
422.00,  0.159,
421.00,  0.159,
420.00,  0.159,
419.00,  0.159,
418.00,  0.160,
417.00,  0.161,
416.00,  0.161,
415.00,  0.161,
414.00,  0.162,
413.00,  0.162,
412.00,  0.164,
411.00,  0.165,
410.00,  0.165,
409.00,  0.166,
408.00,  0.167,
407.00,  0.169,
406.00,  0.170,
405.00,  0.171,
404.00,  0.172,
403.00,  0.174,
402.00,  0.175,
401.00,  0.177,
400.00,  0.178,
399.00,  0.181,
398.00,  0.183,
397.00,  0.185,
396.00,  0.187,
395.00,  0.190,
394.00,  0.192,
393.00,  0.195,
392.00,  0.198,
391.00,  0.199,
390.00,  0.203,
389.00,  0.205,
388.00,  0.209,
387.00,  0.212,
386.00,  0.215,
385.00,  0.218,
384.00,  0.222,
383.00,  0.225,
382.00,  0.228,
381.00,  0.231,
380.00,  0.235,
379.00,  0.238,
378.00,  0.242,
377.00,  0.246,
376.00,  0.250,
375.00,  0.254,
374.00,  0.258,
373.00,  0.263,
372.00,  0.268,
371.00,  0.273,
370.00,  0.278,
369.00,  0.284,
368.00,  0.289,
367.00,  0.295,
366.00,  0.300,
365.00,  0.309,
364.00,  0.317,
363.00,  0.323,
362.00,  0.329,
361.00,  0.326,
360.00,  0.343,
359.00,  0.357,
358.00,  0.360,
357.00,  0.370,
356.00,  0.378,
355.00,  0.387,
354.00,  0.398,
353.00,  0.402,
352.00,  0.408,
351.00,  0.424,
350.00,  0.440,
349.00,  0.443,
348.00,  0.454,
347.00,  0.464,
346.00,  0.477,
345.00,  0.507,
344.00,  0.511,
343.00,  0.533,
342.00,  0.539,
341.00,  0.548,
340.00,  0.568,
339.00,  0.590,
338.00,  0.600,
337.00,  0.610,
336.00,  0.627,
335.00,  0.631,
334.00,  0.646,
333.00,  0.663,
332.00,  0.670,
331.00,  0.682,
330.00,  0.706,
329.00,  0.719,
328.00,  0.716,
327.00,  0.734,
326.00,  0.752,
325.00,  0.754,
324.00,  0.768,
323.00,  0.780,
322.00,  0.780,
321.00,  0.800,
320.00,  0.823,
319.00,  0.819,
318.00,  0.827,
317.00,  0.842,
316.00,  0.833,
315.00,  0.856,
314.00,  0.895,
313.00,  0.883,
312.00,  0.885,
311.00,  0.903,
310.00,  0.910,
309.00,  0.912,
308.00,  0.932,
307.00,  0.931,
306.00,  0.949,
305.00,  0.963,
304.00,  0.972,
303.00,  0.965,
302.00,  0.986,
301.00,  0.994,
300.00,  0.997,
299.00,  1.020,
298.00,  1.028,
297.00,  1.020,
296.00,  1.077,
295.00,  1.135,
294.00,  1.166,
293.00,  1.205,
292.00,  1.238,
291.00,  1.284,
290.00,  1.345,
289.00,  1.409,
288.00,  1.473,
287.00,  1.534,
286.00,  1.600,
285.00,  1.642,
284.00,  1.682,
283.00,  1.717,
282.00,  1.739,
281.00,  1.761,
280.00,  1.771,
279.00,  1.780,
278.00,  1.790,
277.00,  1.783,
276.00,  1.780,
275.00,  1.776,
274.00,  1.764,
273.00,  1.745,
272.00,  1.732,
271.00,  1.710,
270.00,  1.681,
269.00,  1.652,
268.00,  1.627,
267.00,  1.601,
266.00,  1.585,
265.00,  1.555,
264.00,  1.536,
263.00,  1.518,
262.00,  1.505,
261.00,  1.495,
260.00,  1.496,
259.00,  1.502,
258.00,  1.510,
257.00,  1.529,
256.00,  1.558,
255.00,  1.593,
254.00,  1.649,
253.00,  1.708,
252.00,  1.783,
251.00,  1.868,
250.00,  1.970,
249.00,  2.094,
248.00,  2.233,
247.00,  2.380,
246.00,  2.561,
245.00,  2.743,
244.00,  2.857,
243.00,  3.080,
242.00,  3.160,
241.00,  3.238,
240.00,  3.547,
239.00,  3.655,
238.00,  3.609,
237.00,  3.592,
236.00,  3.750,
235.00,  3.568,
234.00,  3.739,
233.00,  3.659,
232.00,  3.590,
231.00,  3.597,
230.00,  3.672,
229.00,  3.630,
228.00,  3.589,
227.00,  3.582,
226.00,  3.388,
225.00,  3.653,
224.00,  3.665,
223.00,  3.601,
222.00,  3.576,
221.00,  3.660,
220.00,  3.650,
219.00,  3.620,
218.00,  3.327,
217.00,  3.558,
216.00,  3.401,
215.00,  3.597,
214.00,  3.649,
213.00,  3.421,
212.00,  3.612,
211.00,  3.469,
210.00,  3.296,
209.00,  3.426,
208.00,  3.444,
207.00,  3.366,
206.00,  3.736,
205.00,  3.142,
204.00,  3.408,
203.00,  3.340,
202.00,  3.084,
201.00,  3.079,
200.00,  3.071,
199.00,  2.969,
198.00,  2.915,
197.00,  2.916,
196.00,  2.882,
195.00,  2.840,
194.00,  2.717,
193.00,  2.686,
192.00,  2.570,
191.00,  2.565,
190.00,  2.339,
