nm,Abs,
600.00,  0.056,
599.00,  0.057,
598.00,  0.058,
597.00,  0.059,
596.00,  0.060,
595.00,  0.061,
594.00,  0.062,
593.00,  0.064,
592.00,  0.065,
591.00,  0.066,
590.00,  0.067,
589.00,  0.068,
588.00,  0.070,
587.00,  0.071,
586.00,  0.072,
585.00,  0.073,
584.00,  0.074,
583.00,  0.076,
582.00,  0.077,
581.00,  0.078,
580.00,  0.079,
579.00,  0.080,
578.00,  0.081,
577.00,  0.082,
576.00,  0.084,
575.00,  0.085,
574.00,  0.086,
573.00,  0.087,
572.00,  0.088,
571.00,  0.089,
570.00,  0.090,
569.00,  0.091,
568.00,  0.092,
567.00,  0.094,
566.00,  0.094,
565.00,  0.096,
564.00,  0.097,
563.00,  0.098,
562.00,  0.099,
561.00,  0.100,
560.00,  0.101,
559.00,  0.102,
558.00,  0.103,
557.00,  0.105,
556.00,  0.106,
555.00,  0.107,
554.00,  0.108,
553.00,  0.109,
552.00,  0.110,
551.00,  0.111,
550.00,  0.112,
549.00,  0.113,
548.00,  0.114,
547.00,  0.115,
546.00,  0.116,
545.00,  0.117,
544.00,  0.118,
543.00,  0.119,
542.00,  0.121,
541.00,  0.122,
540.00,  0.123,
539.00,  0.125,
538.00,  0.125,
537.00,  0.126,
536.00,  0.128,
535.00,  0.129,
534.00,  0.130,
533.00,  0.131,
532.00,  0.132,
531.00,  0.133,
530.00,  0.134,
529.00,  0.135,
528.00,  0.136,
527.00,  0.137,
526.00,  0.138,
525.00,  0.139,
524.00,  0.139,
523.00,  0.140,
522.00,  0.141,
521.00,  0.141,
520.00,  0.142,
519.00,  0.143,
518.00,  0.143,
517.00,  0.144,
516.00,  0.145,
515.00,  0.145,
514.00,  0.145,
513.00,  0.146,
512.00,  0.146,
511.00,  0.146,
510.00,  0.146,
509.00,  0.147,
508.00,  0.147,
507.00,  0.147,
506.00,  0.147,
505.00,  0.147,
504.00,  0.147,
503.00,  0.147,
502.00,  0.147,
501.00,  0.147,
500.00,  0.148,
499.00,  0.148,
498.00,  0.148,
497.00,  0.148,
496.00,  0.148,
495.00,  0.147,
494.00,  0.147,
493.00,  0.147,
492.00,  0.147,
491.00,  0.147,
490.00,  0.147,
489.00,  0.147,
488.00,  0.147,
487.00,  0.147,
486.00,  0.147,
485.00,  0.147,
