nm,Abs,
281.00,  1.617,
280.00,  1.628,
279.00,  1.633,
278.00,  1.633,
277.00,  1.635,
276.00,  1.628,
275.00,  1.616,
274.00,  1.607,
273.00,  1.590,
272.00,  1.567,
271.00,  1.542,
270.00,  1.515,
269.00,  1.488,
268.00,  1.455,
267.00,  1.430,
266.00,  1.415,
265.00,  1.384,
264.00,  1.360,
263.00,  1.339,
262.00,  1.323,
261.00,  1.313,
260.00,  1.307,
259.00,  1.307,
258.00,  1.313,
257.00,  1.325,
256.00,  1.343,
255.00,  1.368,
254.00,  1.413,
253.00,  1.459,
252.00,  1.518,
251.00,  1.587,
250.00,  1.673,
249.00,  1.773,
248.00,  1.892,
247.00,  2.023,
246.00,  2.180,
245.00,  2.327,
244.00,  2.505,
243.00,  2.684,
242.00,  2.833,
241.00,  2.923,
240.00,  3.086,
239.00,  3.283,
238.00,  3.428,
237.00,  3.474,
236.00,  3.439,
235.00,  3.689,
234.00,  3.549,
233.00,  3.495,
232.00,  3.465,
231.00,  3.680,
230.00,  3.484,
229.00,  3.665,
228.00,  3.531,
227.00,  3.524,
226.00,  3.767,
225.00,  3.600,
224.00,  3.665,
223.00,  3.698,
222.00,  3.411,
221.00,  3.660,
220.00,  3.428,
219.00,  3.620,
218.00,  3.672,
217.00,  3.285,
216.00,  3.571,
215.00,  3.339,
214.00,  3.427,
213.00,  3.486,
212.00,  3.405,
211.00,  3.418,
210.00,  3.381,
209.00,  3.375,
208.00,  3.610,
207.00,  3.402,
206.00,  3.394,
205.00,  3.331,
204.00,  3.273,
203.00,  3.083,
202.00,  3.145,
201.00,  2.950,
200.00,  3.022,
199.00,  3.013,
198.00,  2.885,
197.00,  2.830,
196.00,  2.826,
195.00,  2.911,
194.00,  2.738,
193.00,  2.590,
192.00,  2.498,
191.00,  2.505,
190.00,  2.358,
