nm,Abs,
600.00,  0.049,
599.00,  0.050,
598.00,  0.051,
597.00,  0.052,
596.00,  0.053,
595.00,  0.054,
594.00,  0.055,
593.00,  0.057,
592.00,  0.058,
591.00,  0.059,
590.00,  0.060,
589.00,  0.062,
588.00,  0.063,
587.00,  0.064,
586.00,  0.065,
585.00,  0.066,
584.00,  0.068,
583.00,  0.069,
582.00,  0.070,
581.00,  0.071,
580.00,  0.072,
579.00,  0.074,
578.00,  0.075,
577.00,  0.075,
576.00,  0.077,
575.00,  0.078,
574.00,  0.079,
573.00,  0.080,
572.00,  0.081,
571.00,  0.081,
570.00,  0.082,
569.00,  0.083,
568.00,  0.085,
567.00,  0.085,
566.00,  0.086,
565.00,  0.087,
564.00,  0.088,
563.00,  0.089,
562.00,  0.089,
561.00,  0.090,
560.00,  0.091,
559.00,  0.092,
558.00,  0.093,
557.00,  0.094,
556.00,  0.094,
555.00,  0.095,
554.00,  0.096,
553.00,  0.097,
552.00,  0.097,
551.00,  0.098,
550.00,  0.099,
549.00,  0.100,
548.00,  0.100,
547.00,  0.101,
546.00,  0.101,
545.00,  0.102,
544.00,  0.103,
543.00,  0.104,
542.00,  0.104,
541.00,  0.105,
540.00,  0.105,
539.00,  0.106,
538.00,  0.106,
537.00,  0.107,
536.00,  0.108,
535.00,  0.108,
534.00,  0.109,
533.00,  0.109,
532.00,  0.110,
531.00,  0.110,
530.00,  0.110,
529.00,  0.111,
528.00,  0.111,
527.00,  0.112,
526.00,  0.112,
525.00,  0.112,
524.00,  0.112,
523.00,  0.113,
522.00,  0.113,
521.00,  0.113,
520.00,  0.113,
519.00,  0.113,
518.00,  0.113,
517.00,  0.113,
516.00,  0.113,
515.00,  0.113,
514.00,  0.113,
513.00,  0.113,
512.00,  0.113,
511.00,  0.113,
510.00,  0.113,
509.00,  0.113,
508.00,  0.113,
507.00,  0.112,
506.00,  0.112,
505.00,  0.112,
504.00,  0.112,
503.00,  0.112,
502.00,  0.111,
501.00,  0.111,
500.00,  0.111,
499.00,  0.111,
498.00,  0.110,
497.00,  0.110,
496.00,  0.110,
495.00,  0.110,
494.00,  0.110,
493.00,  0.109,
492.00,  0.109,
491.00,  0.109,
490.00,  0.109,
489.00,  0.108,
488.00,  0.108,
487.00,  0.108,
486.00,  0.108,
485.00,  0.108,
484.00,  0.108,
483.00,  0.107,
482.00,  0.107,
481.00,  0.107,
480.00,  0.107,
479.00,  0.107,
478.00,  0.107,
477.00,  0.107,
476.00,  0.107,
475.00,  0.107,
474.00,  0.107,
473.00,  0.107,
472.00,  0.107,
471.00,  0.107,
470.00,  0.107,
469.00,  0.108,
468.00,  0.107,
467.00,  0.107,
466.00,  0.108,
465.00,  0.107,
464.00,  0.107,
463.00,  0.108,
462.00,  0.107,
461.00,  0.107,
460.00,  0.108,
459.00,  0.107,
458.00,  0.108,
457.00,  0.108,
456.00,  0.108,
455.00,  0.108,
454.00,  0.108,
453.00,  0.108,
452.00,  0.108,
451.00,  0.108,
450.00,  0.108,
449.00,  0.108,
448.00,  0.108,
447.00,  0.108,
446.00,  0.108,
445.00,  0.108,
444.00,  0.108,
443.00,  0.108,
442.00,  0.108,
441.00,  0.108,
440.00,  0.108,
439.00,  0.108,
438.00,  0.108,
437.00,  0.109,
436.00,  0.109,
