nm,Abs,
600.00,  0.053,
599.00,  0.054,
598.00,  0.055,
597.00,  0.056,
596.00,  0.057,
595.00,  0.058,
594.00,  0.060,
593.00,  0.061,
592.00,  0.062,
591.00,  0.063,
590.00,  0.065,
589.00,  0.066,
588.00,  0.067,
587.00,  0.069,
586.00,  0.070,
585.00,  0.071,
584.00,  0.072,
583.00,  0.073,
582.00,  0.075,
581.00,  0.076,
580.00,  0.077,
579.00,  0.079,
578.00,  0.080,
577.00,  0.081,
576.00,  0.082,
575.00,  0.083,
574.00,  0.084,
573.00,  0.085,
572.00,  0.086,
571.00,  0.087,
570.00,  0.088,
569.00,  0.089,
568.00,  0.090,
567.00,  0.091,
566.00,  0.092,
565.00,  0.093,
564.00,  0.094,
563.00,  0.095,
562.00,  0.095,
561.00,  0.096,
560.00,  0.097,
559.00,  0.098,
558.00,  0.099,
557.00,  0.100,
556.00,  0.101,
555.00,  0.102,
554.00,  0.103,
553.00,  0.103,
552.00,  0.104,
551.00,  0.105,
550.00,  0.105,
549.00,  0.106,
548.00,  0.107,
547.00,  0.108,
546.00,  0.108,
545.00,  0.109,
544.00,  0.110,
543.00,  0.111,
542.00,  0.111,
541.00,  0.112,
540.00,  0.113,
539.00,  0.114,
538.00,  0.114,
537.00,  0.114,
536.00,  0.115,
535.00,  0.116,
534.00,  0.116,
533.00,  0.117,
532.00,  0.118,
531.00,  0.118,
530.00,  0.118,
529.00,  0.119,
528.00,  0.120,
527.00,  0.120,
526.00,  0.120,
525.00,  0.121,
524.00,  0.121,
523.00,  0.121,
522.00,  0.121,
521.00,  0.121,
520.00,  0.122,
519.00,  0.122,
518.00,  0.122,
517.00,  0.122,
516.00,  0.122,
515.00,  0.122,
514.00,  0.122,
513.00,  0.122,
512.00,  0.122,
511.00,  0.122,
510.00,  0.121,
509.00,  0.122,
508.00,  0.121,
507.00,  0.121,
506.00,  0.121,
505.00,  0.121,
504.00,  0.121,
503.00,  0.120,
502.00,  0.120,
501.00,  0.120,
500.00,  0.120,
499.00,  0.120,
498.00,  0.120,
497.00,  0.119,
496.00,  0.119,
495.00,  0.119,
494.00,  0.119,
493.00,  0.118,
492.00,  0.118,
491.00,  0.118,
490.00,  0.118,
489.00,  0.117,
488.00,  0.117,
487.00,  0.117,
486.00,  0.117,
485.00,  0.117,
484.00,  0.117,
483.00,  0.117,
482.00,  0.116,
481.00,  0.116,
480.00,  0.116,
479.00,  0.116,
478.00,  0.116,
477.00,  0.116,
476.00,  0.116,
475.00,  0.116,
