nm,Abs,
600.00,  0.052,
599.00,  0.053,
598.00,  0.054,
597.00,  0.055,
596.00,  0.056,
595.00,  0.057,
594.00,  0.058,
593.00,  0.059,
592.00,  0.060,
591.00,  0.061,
590.00,  0.062,
589.00,  0.063,
588.00,  0.065,
587.00,  0.066,
586.00,  0.067,
585.00,  0.068,
584.00,  0.069,
583.00,  0.070,
582.00,  0.071,
581.00,  0.073,
580.00,  0.074,
579.00,  0.075,
578.00,  0.076,
577.00,  0.077,
576.00,  0.078,
575.00,  0.079,
574.00,  0.080,
573.00,  0.081,
572.00,  0.082,
571.00,  0.083,
570.00,  0.084,
569.00,  0.085,
568.00,  0.086,
567.00,  0.087,
566.00,  0.088,
565.00,  0.089,
564.00,  0.090,
563.00,  0.091,
562.00,  0.092,
561.00,  0.093,
560.00,  0.094,
559.00,  0.095,
558.00,  0.096,
557.00,  0.097,
556.00,  0.098,
555.00,  0.099,
554.00,  0.100,
553.00,  0.101,
552.00,  0.102,
551.00,  0.103,
550.00,  0.104,
549.00,  0.105,
548.00,  0.106,
547.00,  0.107,
546.00,  0.108,
545.00,  0.109,
544.00,  0.110,
543.00,  0.111,
542.00,  0.112,
541.00,  0.113,
540.00,  0.114,
539.00,  0.116,
538.00,  0.116,
537.00,  0.117,
536.00,  0.118,
535.00,  0.120,
534.00,  0.120,
533.00,  0.122,
532.00,  0.123,
531.00,  0.124,
530.00,  0.124,
529.00,  0.125,
528.00,  0.126,
527.00,  0.127,
526.00,  0.128,
525.00,  0.129,
524.00,  0.129,
523.00,  0.130,
522.00,  0.131,
521.00,  0.131,
520.00,  0.132,
519.00,  0.132,
518.00,  0.133,
517.00,  0.134,
516.00,  0.134,
515.00,  0.135,
514.00,  0.135,
513.00,  0.135,
512.00,  0.136,
511.00,  0.136,
510.00,  0.136,
509.00,  0.136,
508.00,  0.137,
507.00,  0.137,
506.00,  0.137,
505.00,  0.137,
504.00,  0.137,
503.00,  0.137,
502.00,  0.137,
501.00,  0.137,
500.00,  0.138,
499.00,  0.138,
498.00,  0.137,
497.00,  0.138,
496.00,  0.138,
495.00,  0.137,
494.00,  0.138,
493.00,  0.138,
492.00,  0.138,
491.00,  0.137,
490.00,  0.138,
489.00,  0.137,
488.00,  0.138,
487.00,  0.138,
486.00,  0.138,
485.00,  0.138,
484.00,  0.138,
483.00,  0.138,
482.00,  0.138,
481.00,  0.138,
480.00,  0.138,
479.00,  0.138,
478.00,  0.138,
477.00,  0.138,
476.00,  0.139,
475.00,  0.139,
474.00,  0.139,
473.00,  0.139,
472.00,  0.139,
471.00,  0.139,
470.00,  0.140,
469.00,  0.140,
468.00,  0.140,
467.00,  0.140,
466.00,  0.140,
465.00,  0.140,
464.00,  0.140,
463.00,  0.140,
462.00,  0.141,
461.00,  0.141,
460.00,  0.141,
459.00,  0.141,
458.00,  0.141,
457.00,  0.141,
456.00,  0.141,
455.00,  0.141,
454.00,  0.141,
453.00,  0.142,
452.00,  0.142,
451.00,  0.142,
450.00,  0.142,
449.00,  0.142,
448.00,  0.142,
447.00,  0.142,
446.00,  0.142,
445.00,  0.143,
444.00,  0.143,
443.00,  0.143,
442.00,  0.143,
441.00,  0.143,
440.00,  0.143,
439.00,  0.143,
438.00,  0.143,
437.00,  0.144,
436.00,  0.144,
435.00,  0.144,
434.00,  0.144,
433.00,  0.144,
432.00,  0.144,
431.00,  0.144,
430.00,  0.145,
429.00,  0.145,
428.00,  0.145,
427.00,  0.145,
426.00,  0.145,
425.00,  0.146,
424.00,  0.146,
423.00,  0.146,
422.00,  0.146,
421.00,  0.147,
420.00,  0.147,
419.00,  0.147,
418.00,  0.147,
417.00,  0.148,
416.00,  0.148,
415.00,  0.149,
414.00,  0.149,
413.00,  0.150,
412.00,  0.151,
411.00,  0.152,
410.00,  0.152,
409.00,  0.153,
408.00,  0.154,
407.00,  0.155,
406.00,  0.156,
405.00,  0.158,
404.00,  0.159,
403.00,  0.160,
402.00,  0.161,
401.00,  0.163,
400.00,  0.164,
399.00,  0.167,
398.00,  0.168,
397.00,  0.170,
396.00,  0.173,
395.00,  0.174,
394.00,  0.177,
393.00,  0.179,
392.00,  0.182,
391.00,  0.183,
390.00,  0.186,
389.00,  0.189,
388.00,  0.192,
387.00,  0.195,
386.00,  0.198,
385.00,  0.200,
384.00,  0.204,
383.00,  0.207,
382.00,  0.210,
381.00,  0.213,
380.00,  0.216,
379.00,  0.219,
378.00,  0.223,
377.00,  0.226,
376.00,  0.230,
375.00,  0.234,
374.00,  0.238,
373.00,  0.241,
372.00,  0.247,
371.00,  0.251,
370.00,  0.257,
369.00,  0.262,
368.00,  0.267,
367.00,  0.272,
366.00,  0.277,
365.00,  0.282,
364.00,  0.292,
363.00,  0.301,
362.00,  0.306,
361.00,  0.306,
360.00,  0.311,
359.00,  0.333,
358.00,  0.337,
357.00,  0.342,
356.00,  0.354,
355.00,  0.354,
354.00,  0.367,
353.00,  0.381,
352.00,  0.383,
351.00,  0.392,
350.00,  0.404,
349.00,  0.415,
348.00,  0.423,
347.00,  0.439,
346.00,  0.454,
345.00,  0.469,
344.00,  0.485,
343.00,  0.494,
342.00,  0.504,
341.00,  0.520,
340.00,  0.532,
339.00,  0.536,
338.00,  0.562,
337.00,  0.578,
336.00,  0.590,
335.00,  0.596,
334.00,  0.621,
333.00,  0.619,
332.00,  0.630,
331.00,  0.655,
330.00,  0.673,
329.00,  0.661,
328.00,  0.684,
327.00,  0.706,
326.00,  0.694,
325.00,  0.713,
324.00,  0.725,
323.00,  0.732,
322.00,  0.739,
321.00,  0.755,
320.00,  0.782,
319.00,  0.776,
318.00,  0.791,
317.00,  0.799,
316.00,  0.803,
315.00,  0.820,
314.00,  0.827,
313.00,  0.831,
312.00,  0.836,
311.00,  0.862,
310.00,  0.866,
309.00,  0.870,
308.00,  0.896,
307.00,  0.884,
306.00,  0.903,
305.00,  0.916,
304.00,  0.909,
303.00,  0.908,
302.00,  0.950,
301.00,  0.958,
300.00,  0.929,
299.00,  0.963,
298.00,  0.957,
297.00,  0.979,
296.00,  1.013,
295.00,  1.077,
294.00,  1.107,
293.00,  1.141,
292.00,  1.174,
291.00,  1.218,
290.00,  1.274,
289.00,  1.334,
288.00,  1.395,
287.00,  1.451,
286.00,  1.510,
285.00,  1.548,
284.00,  1.590,
283.00,  1.620,
282.00,  1.647,
281.00,  1.659,
280.00,  1.676,
279.00,  1.683,
278.00,  1.685,
277.00,  1.684,
276.00,  1.682,
275.00,  1.676,
274.00,  1.663,
273.00,  1.654,
272.00,  1.637,
271.00,  1.611,
270.00,  1.588,
269.00,  1.561,
268.00,  1.534,
267.00,  1.511,
266.00,  1.497,
265.00,  1.469,
264.00,  1.451,
263.00,  1.432,
262.00,  1.419,
261.00,  1.413,
260.00,  1.411,
259.00,  1.413,
258.00,  1.425,
257.00,  1.444,
256.00,  1.467,
255.00,  1.500,
254.00,  1.553,
253.00,  1.608,
252.00,  1.676,
251.00,  1.757,
250.00,  1.857,
249.00,  1.968,
248.00,  2.094,
247.00,  2.243,
246.00,  2.397,
245.00,  2.557,
244.00,  2.747,
243.00,  2.915,
242.00,  3.013,
241.00,  3.134,
240.00,  3.387,
239.00,  3.354,
238.00,  3.498,
237.00,  3.398,
236.00,  3.574,
235.00,  3.655,
234.00,  3.479,
233.00,  3.676,
232.00,  3.476,
231.00,  3.388,
230.00,  3.605,
229.00,  3.346,
228.00,  3.424,
227.00,  3.667,
226.00,  3.420,
225.00,  3.599,
224.00,  3.776,
223.00,  3.552,
222.00,  3.328,
221.00,  3.659,
220.00,  3.349,
219.00,  3.443,
218.00,  3.473,
217.00,  3.370,
216.00,  3.534,
215.00,  3.441,
214.00,  3.489,
213.00,  3.561,
212.00,  3.234,
211.00,  3.487,
210.00,  3.271,
209.00,  3.287,
208.00,  3.507,
207.00,  3.219,
206.00,  3.134,
205.00,  3.596,
204.00,  3.289,
203.00,  3.071,
202.00,  3.077,
201.00,  3.053,
200.00,  2.854,
199.00,  2.899,
198.00,  3.002,
197.00,  2.887,
196.00,  2.846,
195.00,  2.672,
194.00,  2.717,
193.00,  2.590,
192.00,  2.595,
191.00,  2.384,
190.00,  2.273,
