nm,Abs,
600.00,  0.051,
599.00,  0.053,
598.00,  0.054,
597.00,  0.055,
596.00,  0.056,
595.00,  0.057,
594.00,  0.058,
593.00,  0.059,
592.00,  0.061,
591.00,  0.062,
590.00,  0.063,
589.00,  0.065,
588.00,  0.066,
587.00,  0.067,
586.00,  0.069,
585.00,  0.069,
584.00,  0.071,
583.00,  0.072,
582.00,  0.073,
581.00,  0.075,
580.00,  0.076,
579.00,  0.077,
578.00,  0.078,
577.00,  0.079,
576.00,  0.080,
575.00,  0.081,
574.00,  0.082,
573.00,  0.083,
572.00,  0.084,
571.00,  0.085,
570.00,  0.086,
569.00,  0.087,
568.00,  0.088,
567.00,  0.089,
566.00,  0.090,
565.00,  0.091,
564.00,  0.092,
563.00,  0.093,
562.00,  0.094,
561.00,  0.095,
560.00,  0.095,
559.00,  0.096,
558.00,  0.097,
557.00,  0.098,
556.00,  0.099,
555.00,  0.100,
554.00,  0.101,
553.00,  0.101,
552.00,  0.102,
551.00,  0.103,
550.00,  0.103,
549.00,  0.104,
548.00,  0.105,
547.00,  0.105,
546.00,  0.106,
545.00,  0.107,
544.00,  0.107,
543.00,  0.108,
542.00,  0.109,
541.00,  0.110,
540.00,  0.110,
539.00,  0.111,
538.00,  0.111,
537.00,  0.112,
536.00,  0.113,
535.00,  0.114,
534.00,  0.114,
533.00,  0.114,
532.00,  0.115,
531.00,  0.115,
530.00,  0.115,
529.00,  0.116,
528.00,  0.116,
527.00,  0.117,
526.00,  0.117,
525.00,  0.117,
524.00,  0.118,
523.00,  0.118,
522.00,  0.118,
521.00,  0.118,
520.00,  0.118,
519.00,  0.118,
518.00,  0.118,
517.00,  0.118,
516.00,  0.118,
515.00,  0.118,
514.00,  0.118,
513.00,  0.118,
512.00,  0.118,
511.00,  0.118,
510.00,  0.118,
509.00,  0.118,
508.00,  0.118,
507.00,  0.118,
506.00,  0.117,
505.00,  0.117,
504.00,  0.117,
503.00,  0.117,
502.00,  0.117,
501.00,  0.116,
500.00,  0.116,
499.00,  0.116,
498.00,  0.116,
497.00,  0.116,
496.00,  0.116,
495.00,  0.115,
494.00,  0.115,
493.00,  0.115,
492.00,  0.115,
491.00,  0.114,
490.00,  0.114,
489.00,  0.114,
488.00,  0.114,
487.00,  0.113,
486.00,  0.113,
485.00,  0.113,
484.00,  0.113,
483.00,  0.113,
482.00,  0.113,
481.00,  0.113,
480.00,  0.113,
479.00,  0.113,
478.00,  0.112,
477.00,  0.113,
476.00,  0.112,
475.00,  0.113,
474.00,  0.112,
473.00,  0.112,
472.00,  0.113,
471.00,  0.113,
470.00,  0.113,
469.00,  0.113,
468.00,  0.113,
467.00,  0.113,
466.00,  0.113,
465.00,  0.113,
464.00,  0.113,
463.00,  0.113,
462.00,  0.113,
461.00,  0.113,
460.00,  0.113,
459.00,  0.112,
458.00,  0.113,
457.00,  0.113,
456.00,  0.113,
455.00,  0.113,
454.00,  0.113,
453.00,  0.113,
452.00,  0.113,
451.00,  0.114,
450.00,  0.114,
449.00,  0.114,
448.00,  0.114,
447.00,  0.114,
446.00,  0.114,
445.00,  0.114,
444.00,  0.114,
443.00,  0.114,
442.00,  0.113,
441.00,  0.114,
440.00,  0.114,
439.00,  0.114,
438.00,  0.113,
437.00,  0.114,
436.00,  0.115,
435.00,  0.115,
434.00,  0.114,
433.00,  0.114,
432.00,  0.114,
431.00,  0.114,
430.00,  0.115,
429.00,  0.114,
428.00,  0.114,
427.00,  0.115,
426.00,  0.115,
425.00,  0.115,
424.00,  0.115,
423.00,  0.115,
422.00,  0.115,
421.00,  0.115,
420.00,  0.115,
419.00,  0.115,
418.00,  0.115,
417.00,  0.115,
416.00,  0.115,
415.00,  0.115,
414.00,  0.115,
413.00,  0.116,
412.00,  0.117,
411.00,  0.117,
410.00,  0.117,
409.00,  0.117,
408.00,  0.118,
407.00,  0.119,
406.00,  0.119,
405.00,  0.120,
404.00,  0.120,
403.00,  0.121,
402.00,  0.122,
401.00,  0.122,
400.00,  0.123,
399.00,  0.125,
398.00,  0.126,
397.00,  0.127,
396.00,  0.129,
395.00,  0.130,
394.00,  0.131,
393.00,  0.133,
392.00,  0.134,
391.00,  0.135,
390.00,  0.137,
389.00,  0.139,
388.00,  0.141,
387.00,  0.143,
386.00,  0.145,
385.00,  0.146,
384.00,  0.149,
383.00,  0.151,
382.00,  0.152,
381.00,  0.155,
380.00,  0.157,
379.00,  0.159,
378.00,  0.161,
377.00,  0.164,
376.00,  0.166,
375.00,  0.169,
374.00,  0.171,
373.00,  0.174,
372.00,  0.178,
371.00,  0.182,
370.00,  0.185,
369.00,  0.189,
368.00,  0.193,
367.00,  0.197,
366.00,  0.200,
365.00,  0.205,
364.00,  0.213,
363.00,  0.217,
362.00,  0.220,
361.00,  0.226,
360.00,  0.231,
359.00,  0.250,
358.00,  0.248,
357.00,  0.259,
356.00,  0.268,
355.00,  0.265,
354.00,  0.270,
353.00,  0.281,
352.00,  0.290,
351.00,  0.293,
350.00,  0.308,
349.00,  0.315,
348.00,  0.320,
347.00,  0.334,
346.00,  0.340,
345.00,  0.361,
344.00,  0.367,
343.00,  0.376,
342.00,  0.383,
341.00,  0.394,
340.00,  0.405,
339.00,  0.417,
338.00,  0.436,
337.00,  0.443,
336.00,  0.464,
335.00,  0.466,
334.00,  0.480,
333.00,  0.483,
332.00,  0.503,
331.00,  0.510,
330.00,  0.517,
329.00,  0.524,
328.00,  0.535,
327.00,  0.541,
326.00,  0.548,
325.00,  0.557,
324.00,  0.565,
323.00,  0.573,
322.00,  0.581,
321.00,  0.595,
320.00,  0.604,
319.00,  0.624,
318.00,  0.628,
317.00,  0.632,
316.00,  0.651,
315.00,  0.656,
314.00,  0.665,
313.00,  0.685,
312.00,  0.679,
311.00,  0.708,
310.00,  0.715,
309.00,  0.719,
308.00,  0.732,
307.00,  0.737,
306.00,  0.747,
305.00,  0.757,
304.00,  0.763,
303.00,  0.772,
302.00,  0.776,
301.00,  0.801,
300.00,  0.809,
299.00,  0.809,
298.00,  0.835,
297.00,  0.850,
296.00,  0.844,
295.00,  0.919,
294.00,  0.947,
293.00,  0.982,
292.00,  1.016,
291.00,  1.057,
290.00,  1.113,
289.00,  1.175,
288.00,  1.237,
287.00,  1.292,
