nm,Abs,
600.00,  0.051,
599.00,  0.053,
598.00,  0.053,
597.00,  0.054,
596.00,  0.056,
595.00,  0.056,
594.00,  0.058,
593.00,  0.059,
592.00,  0.060,
591.00,  0.061,
590.00,  0.063,
589.00,  0.064,
588.00,  0.065,
587.00,  0.067,
586.00,  0.068,
585.00,  0.069,
584.00,  0.070,
583.00,  0.071,
582.00,  0.073,
581.00,  0.074,
580.00,  0.075,
579.00,  0.076,
578.00,  0.078,
577.00,  0.078,
576.00,  0.080,
575.00,  0.081,
574.00,  0.082,
573.00,  0.083,
572.00,  0.084,
571.00,  0.085,
570.00,  0.085,
569.00,  0.086,
568.00,  0.088,
567.00,  0.089,
566.00,  0.090,
565.00,  0.091,
564.00,  0.092,
563.00,  0.093,
562.00,  0.093,
561.00,  0.094,
560.00,  0.095,
559.00,  0.096,
558.00,  0.096,
557.00,  0.097,
556.00,  0.098,
555.00,  0.099,
554.00,  0.100,
553.00,  0.101,
552.00,  0.101,
551.00,  0.102,
550.00,  0.103,
549.00,  0.103,
548.00,  0.104,
547.00,  0.105,
546.00,  0.105,
545.00,  0.106,
544.00,  0.107,
543.00,  0.108,
542.00,  0.108,
541.00,  0.109,
540.00,  0.109,
539.00,  0.110,
538.00,  0.111,
537.00,  0.111,
536.00,  0.112,
535.00,  0.112,
534.00,  0.113,
533.00,  0.113,
532.00,  0.114,
531.00,  0.114,
530.00,  0.115,
529.00,  0.115,
528.00,  0.116,
527.00,  0.116,
526.00,  0.116,
525.00,  0.117,
524.00,  0.117,
523.00,  0.117,
522.00,  0.117,
521.00,  0.117,
520.00,  0.117,
519.00,  0.117,
518.00,  0.117,
517.00,  0.118,
516.00,  0.118,
515.00,  0.117,
514.00,  0.117,
513.00,  0.117,
512.00,  0.117,
511.00,  0.117,
510.00,  0.117,
509.00,  0.117,
508.00,  0.117,
507.00,  0.116,
506.00,  0.116,
505.00,  0.116,
504.00,  0.116,
503.00,  0.116,
502.00,  0.116,
501.00,  0.115,
500.00,  0.115,
499.00,  0.115,
498.00,  0.115,
497.00,  0.115,
496.00,  0.114,
495.00,  0.114,
494.00,  0.114,
493.00,  0.114,
492.00,  0.114,
491.00,  0.114,
490.00,  0.113,
489.00,  0.113,
488.00,  0.113,
487.00,  0.113,
486.00,  0.112,
485.00,  0.112,
484.00,  0.112,
483.00,  0.112,
482.00,  0.112,
481.00,  0.112,
480.00,  0.112,
479.00,  0.112,
478.00,  0.112,
477.00,  0.112,
476.00,  0.112,
475.00,  0.112,
474.00,  0.112,
473.00,  0.112,
472.00,  0.112,
471.00,  0.112,
470.00,  0.112,
469.00,  0.112,
468.00,  0.112,
467.00,  0.112,
466.00,  0.112,
465.00,  0.112,
464.00,  0.112,
463.00,  0.112,
462.00,  0.113,
461.00,  0.112,
460.00,  0.113,
459.00,  0.112,
458.00,  0.113,
457.00,  0.112,
456.00,  0.113,
455.00,  0.113,
454.00,  0.113,
453.00,  0.112,
452.00,  0.113,
451.00,  0.113,
450.00,  0.113,
449.00,  0.113,
448.00,  0.113,
447.00,  0.113,
446.00,  0.113,
445.00,  0.113,
444.00,  0.113,
443.00,  0.113,
442.00,  0.113,
441.00,  0.113,
440.00,  0.113,
439.00,  0.113,
438.00,  0.113,
437.00,  0.114,
436.00,  0.114,
435.00,  0.114,
434.00,  0.114,
433.00,  0.114,
432.00,  0.114,
431.00,  0.114,
430.00,  0.114,
429.00,  0.114,
428.00,  0.114,
427.00,  0.114,
426.00,  0.115,
425.00,  0.115,
424.00,  0.114,
423.00,  0.115,
422.00,  0.115,
421.00,  0.114,
420.00,  0.115,
419.00,  0.115,
418.00,  0.115,
417.00,  0.115,
416.00,  0.115,
415.00,  0.115,
414.00,  0.116,
413.00,  0.116,
412.00,  0.117,
411.00,  0.117,
410.00,  0.117,
409.00,  0.117,
408.00,  0.118,
407.00,  0.119,
406.00,  0.119,
405.00,  0.120,
404.00,  0.121,
403.00,  0.121,
402.00,  0.122,
401.00,  0.123,
400.00,  0.124,
399.00,  0.125,
398.00,  0.126,
397.00,  0.127,
396.00,  0.129,
395.00,  0.130,
394.00,  0.131,
393.00,  0.133,
392.00,  0.135,
391.00,  0.135,
390.00,  0.138,
389.00,  0.139,
388.00,  0.141,
387.00,  0.143,
386.00,  0.145,
385.00,  0.147,
384.00,  0.149,
383.00,  0.151,
382.00,  0.153,
381.00,  0.155,
380.00,  0.157,
379.00,  0.159,
378.00,  0.162,
377.00,  0.164,
376.00,  0.167,
375.00,  0.169,
374.00,  0.171,
373.00,  0.175,
372.00,  0.178,
371.00,  0.181,
370.00,  0.186,
369.00,  0.190,
368.00,  0.193,
367.00,  0.197,
366.00,  0.200,
365.00,  0.209,
364.00,  0.213,
363.00,  0.221,
362.00,  0.222,
361.00,  0.225,
360.00,  0.223,
359.00,  0.241,
358.00,  0.240,
357.00,  0.245,
356.00,  0.248,
355.00,  0.254,
354.00,  0.259,
353.00,  0.270,
352.00,  0.285,
351.00,  0.294,
350.00,  0.299,
349.00,  0.312,
348.00,  0.317,
347.00,  0.325,
346.00,  0.334,
345.00,  0.352,
344.00,  0.366,
343.00,  0.374,
342.00,  0.377,
341.00,  0.387,
340.00,  0.402,
339.00,  0.413,
338.00,  0.420,
337.00,  0.429,
336.00,  0.444,
335.00,  0.454,
334.00,  0.472,
333.00,  0.486,
332.00,  0.491,
331.00,  0.501,
330.00,  0.514,
329.00,  0.525,
328.00,  0.528,
327.00,  0.541,
326.00,  0.551,
325.00,  0.562,
324.00,  0.561,
323.00,  0.576,
322.00,  0.590,
321.00,  0.600,
320.00,  0.609,
319.00,  0.629,
318.00,  0.629,
317.00,  0.640,
316.00,  0.648,
315.00,  0.653,
314.00,  0.674,
313.00,  0.692,
312.00,  0.693,
311.00,  0.707,
310.00,  0.714,
309.00,  0.716,
308.00,  0.739,
307.00,  0.731,
306.00,  0.749,
305.00,  0.766,
304.00,  0.761,
303.00,  0.780,
302.00,  0.789,
301.00,  0.801,
300.00,  0.815,
299.00,  0.823,
298.00,  0.830,
297.00,  0.859,
296.00,  0.855,
295.00,  0.921,
294.00,  0.950,
293.00,  0.985,
292.00,  1.018,
291.00,  1.060,
290.00,  1.116,
289.00,  1.177,
288.00,  1.240,
287.00,  1.295,
