nm,Abs,
600.00,  0.049,
599.00,  0.051,
598.00,  0.051,
597.00,  0.053,
596.00,  0.054,
595.00,  0.055,
594.00,  0.056,
593.00,  0.057,
592.00,  0.058,
591.00,  0.059,
590.00,  0.061,
589.00,  0.062,
588.00,  0.063,
587.00,  0.064,
586.00,  0.066,
585.00,  0.066,
584.00,  0.068,
583.00,  0.069,
582.00,  0.070,
581.00,  0.072,
580.00,  0.073,
579.00,  0.074,
578.00,  0.075,
577.00,  0.076,
576.00,  0.077,
575.00,  0.078,
574.00,  0.079,
573.00,  0.080,
572.00,  0.081,
571.00,  0.082,
570.00,  0.083,
569.00,  0.084,
568.00,  0.085,
567.00,  0.086,
566.00,  0.087,
565.00,  0.088,
564.00,  0.088,
563.00,  0.089,
562.00,  0.090,
561.00,  0.091,
560.00,  0.092,
559.00,  0.093,
558.00,  0.093,
557.00,  0.094,
556.00,  0.095,
555.00,  0.096,
554.00,  0.097,
553.00,  0.097,
552.00,  0.098,
551.00,  0.099,
550.00,  0.099,
549.00,  0.100,
548.00,  0.100,
547.00,  0.101,
546.00,  0.102,
545.00,  0.103,
544.00,  0.103,
543.00,  0.104,
542.00,  0.105,
541.00,  0.105,
540.00,  0.106,
539.00,  0.107,
538.00,  0.107,
537.00,  0.107,
536.00,  0.108,
535.00,  0.109,
534.00,  0.109,
533.00,  0.110,
532.00,  0.110,
531.00,  0.111,
530.00,  0.111,
529.00,  0.112,
528.00,  0.112,
527.00,  0.112,
526.00,  0.113,
525.00,  0.113,
524.00,  0.113,
523.00,  0.113,
522.00,  0.114,
521.00,  0.114,
520.00,  0.114,
519.00,  0.114,
518.00,  0.114,
517.00,  0.114,
516.00,  0.114,
515.00,  0.114,
514.00,  0.114,
513.00,  0.114,
512.00,  0.114,
511.00,  0.114,
510.00,  0.113,
509.00,  0.113,
508.00,  0.113,
507.00,  0.113,
506.00,  0.113,
505.00,  0.112,
504.00,  0.113,
503.00,  0.112,
502.00,  0.112,
501.00,  0.112,
500.00,  0.112,
499.00,  0.112,
498.00,  0.111,
497.00,  0.111,
496.00,  0.111,
495.00,  0.110,
494.00,  0.110,
493.00,  0.110,
492.00,  0.110,
491.00,  0.110,
490.00,  0.109,
489.00,  0.109,
488.00,  0.109,
487.00,  0.109,
486.00,  0.109,
485.00,  0.109,
484.00,  0.108,
483.00,  0.108,
482.00,  0.108,
481.00,  0.108,
480.00,  0.108,
479.00,  0.108,
478.00,  0.108,
477.00,  0.108,
476.00,  0.108,
475.00,  0.108,
474.00,  0.108,
473.00,  0.108,
472.00,  0.108,
471.00,  0.108,
470.00,  0.108,
469.00,  0.108,
468.00,  0.108,
467.00,  0.108,
466.00,  0.108,
465.00,  0.108,
464.00,  0.108,
463.00,  0.108,
462.00,  0.108,
461.00,  0.108,
460.00,  0.109,
459.00,  0.108,
458.00,  0.109,
457.00,  0.108,
456.00,  0.109,
455.00,  0.109,
454.00,  0.108,
453.00,  0.108,
452.00,  0.109,
451.00,  0.109,
450.00,  0.109,
449.00,  0.109,
448.00,  0.109,
447.00,  0.109,
446.00,  0.109,
445.00,  0.109,
444.00,  0.109,
443.00,  0.109,
442.00,  0.108,
441.00,  0.108,
440.00,  0.109,
439.00,  0.109,
438.00,  0.109,
437.00,  0.110,
436.00,  0.110,
435.00,  0.110,
434.00,  0.109,
433.00,  0.109,
432.00,  0.110,
431.00,  0.109,
430.00,  0.110,
429.00,  0.110,
428.00,  0.110,
427.00,  0.110,
426.00,  0.110,
425.00,  0.110,
424.00,  0.110,
423.00,  0.110,
422.00,  0.110,
421.00,  0.110,
420.00,  0.110,
419.00,  0.110,
418.00,  0.110,
417.00,  0.111,
416.00,  0.110,
415.00,  0.111,
414.00,  0.111,
413.00,  0.111,
412.00,  0.111,
411.00,  0.112,
410.00,  0.112,
409.00,  0.113,
408.00,  0.113,
407.00,  0.114,
406.00,  0.114,
405.00,  0.115,
404.00,  0.116,
403.00,  0.116,
402.00,  0.117,
401.00,  0.117,
400.00,  0.118,
399.00,  0.120,
398.00,  0.121,
397.00,  0.122,
396.00,  0.123,
395.00,  0.125,
394.00,  0.126,
393.00,  0.127,
392.00,  0.129,
391.00,  0.130,
390.00,  0.132,
389.00,  0.134,
388.00,  0.135,
387.00,  0.137,
386.00,  0.139,
385.00,  0.141,
384.00,  0.143,
383.00,  0.145,
382.00,  0.147,
381.00,  0.148,
380.00,  0.150,
379.00,  0.152,
378.00,  0.155,
377.00,  0.157,
376.00,  0.159,
375.00,  0.162,
374.00,  0.165,
373.00,  0.167,
372.00,  0.171,
371.00,  0.174,
370.00,  0.178,
369.00,  0.182,
368.00,  0.185,
367.00,  0.189,
366.00,  0.192,
365.00,  0.198,
364.00,  0.205,
363.00,  0.211,
362.00,  0.216,
361.00,  0.220,
360.00,  0.232,
359.00,  0.229,
358.00,  0.239,
357.00,  0.244,
356.00,  0.246,
355.00,  0.254,
354.00,  0.257,
353.00,  0.265,
352.00,  0.273,
351.00,  0.280,
350.00,  0.293,
349.00,  0.295,
348.00,  0.311,
347.00,  0.316,
346.00,  0.325,
345.00,  0.346,
344.00,  0.351,
343.00,  0.366,
342.00,  0.365,
341.00,  0.377,
340.00,  0.394,
339.00,  0.399,
338.00,  0.414,
337.00,  0.425,
336.00,  0.434,
335.00,  0.447,
334.00,  0.458,
333.00,  0.469,
332.00,  0.479,
331.00,  0.494,
330.00,  0.504,
329.00,  0.508,
328.00,  0.511,
327.00,  0.519,
326.00,  0.537,
325.00,  0.540,
324.00,  0.552,
323.00,  0.554,
322.00,  0.573,
321.00,  0.570,
320.00,  0.597,
319.00,  0.599,
318.00,  0.609,
317.00,  0.624,
316.00,  0.613,
315.00,  0.642,
314.00,  0.642,
313.00,  0.657,
312.00,  0.685,
311.00,  0.676,
310.00,  0.688,
309.00,  0.696,
308.00,  0.703,
307.00,  0.715,
306.00,  0.719,
305.00,  0.733,
304.00,  0.745,
303.00,  0.741,
302.00,  0.759,
301.00,  0.764,
300.00,  0.783,
299.00,  0.790,
298.00,  0.802,
297.00,  0.811,
296.00,  0.834,
295.00,  0.886,
294.00,  0.913,
293.00,  0.947,
292.00,  0.979,
291.00,  1.020,
290.00,  1.074,
289.00,  1.133,
288.00,  1.192,
287.00,  1.248,
286.00,  1.305,
285.00,  1.344,
284.00,  1.382,
283.00,  1.413,
282.00,  1.438,
281.00,  1.452,
280.00,  1.465,
279.00,  1.474,
278.00,  1.478,
277.00,  1.481,
276.00,  1.475,
275.00,  1.466,
274.00,  1.458,
273.00,  1.446,
272.00,  1.428,
271.00,  1.405,
270.00,  1.382,
269.00,  1.358,
268.00,  1.332,
267.00,  1.309,
266.00,  1.295,
265.00,  1.268,
264.00,  1.249,
263.00,  1.233,
262.00,  1.220,
261.00,  1.212,
260.00,  1.210,
259.00,  1.211,
258.00,  1.215,
257.00,  1.225,
256.00,  1.238,
255.00,  1.259,
254.00,  1.295,
253.00,  1.327,
252.00,  1.384,
251.00,  1.448,
250.00,  1.532,
249.00,  1.629,
248.00,  1.757,
247.00,  1.889,
246.00,  2.047,
245.00,  2.217,
244.00,  2.400,
243.00,  2.566,
242.00,  2.709,
241.00,  2.826,
240.00,  3.034,
239.00,  3.115,
238.00,  3.301,
237.00,  3.341,
236.00,  3.376,
235.00,  3.415,
234.00,  3.458,
233.00,  3.483,
232.00,  3.652,
231.00,  3.613,
230.00,  3.440,
229.00,  3.392,
228.00,  3.694,
227.00,  3.538,
226.00,  3.642,
225.00,  4.015,
224.00,  3.516,
223.00,  3.795,
222.00,  3.690,
221.00,  3.660,
220.00,  3.467,
219.00,  3.382,
218.00,  3.746,
217.00,  3.347,
216.00,  3.517,
215.00,  3.317,
214.00,  3.581,
213.00,  3.452,
212.00,  3.487,
211.00,  3.487,
210.00,  3.248,
209.00,  3.444,
208.00,  3.464,
207.00,  3.332,
206.00,  3.414,
205.00,  3.233,
204.00,  3.024,
203.00,  3.406,
202.00,  3.013,
201.00,  3.019,
200.00,  3.322,
199.00,  2.986,
198.00,  2.889,
197.00,  3.011,
196.00,  2.894,
195.00,  2.852,
194.00,  2.773,
193.00,  2.572,
192.00,  2.542,
191.00,  2.460,
190.00,  2.156,
