11-20-2017,19:26:21
Wavenumber(cm-1),Intensity
 438 , 19425.71490555 
 439 , 19444.2963033854 
 440 , 19469.7153953978 
 441 , 19494.9047633189 
 442 , 19514.1861632421 
 443 , 19530.2194380198 
 444 , 19548.2728001468 
 445 , 19571.3904748671 
 446 , 19598.8519326901 
 447 , 19629.5502368122 
 448 , 19662.1295411836 
 449 , 19695.0795828925 
 450 , 19726.4759597713 
 451 , 19753.0322647884 
 452 , 19771.3043562715 
 453 , 19781.539658681 
 454 , 19788.2238246582 
 455 , 19795.9025695011 
 456 , 19807.9636712759 
 457 , 19827.309512894 
 458 , 19854.9601591668 
 459 , 19887.9435967723 
 460 , 19922.9723291742 
 461 , 19959.6076289231 
 462 , 19999.5738585413 
 463 , 20042.7261416181 
 464 , 20081.0834313493 
 465 , 20104.8683723609 
 466 , 20112.8481002491 
 467 , 20115.3745480503 
 468 , 20122.8898482875 
 469 , 20139.9466657211 
 470 , 20168.2573834449 
 471 , 20206.2175874635 
 472 , 20244.1552720864 
 473 , 20271.7092430851 
 474 , 20287.6512092915 
 475 , 20298.5349538925 
 476 , 20310.5782943198 
 477 , 20327.3322569233 
 478 , 20351.528328035 
 479 , 20382.7625688569 
 480 , 20416.0164621698 
 481 , 20446.0360095411 
 482 , 20468.7329010405 
 483 , 20480.6288260688 
 484 , 20483.0026439514 
 485 , 20489.3706328474 
 486 , 20514.4125063407 
 487 , 20558.4593527125 
 488 , 20609.2387089208 
 489 , 20655.7266587446 
 490 , 20694.6666901844 
 491 , 20725.1045927541 
 492 , 20748.9572130298 
 493 , 20772.3522101485 
 494 , 20800.6363804506 
 495 , 20829.6994186596 
 496 , 20850.6850098278 
 497 , 20860.0436595349 
 498 , 20867.438445155 
 499 , 20883.8423919588 
 500 , 20908.469703738 
 501 , 20930.7484648667 
 502 , 20943.1408054869 
 503 , 20952.3349067223 
 504 , 20968.588136898 
 505 , 20992.6632550247 
 506 , 21012.5780671668 
 507 , 21017.7637370588 
 508 , 21014.8110646504 
 509 , 21018.0075088562 
 510 , 21035.0932881962 
 511 , 21059.520994343 
 512 , 21083.2689155202 
 513 , 21103.7567904171 
 514 , 21122.3458462106 
 515 , 21140.5048285242 
 516 , 21159.7719930384 
 517 , 21181.6593100677 
 518 , 21206.4674076883 
 519 , 21233.1281318269 
 520 , 21260.191461252 
 521 , 21284.3792660915 
 522 , 21301.7966707285 
 523 , 21313.1683029019 
 524 , 21327.2997973922 
 525 , 21352.1772325689 
 526 , 21379.3749737233 
 527 , 21391.0073988012 
 528 , 21379.6910975802 
 529 , 21367.0546619491 
 530 , 21378.4295094904 
 531 , 21417.0340974633 
 532 , 21466.7251369656 
 533 , 21513.6336902045 
 534 , 21556.5454593014 
 535 , 21597.585884049 
 536 , 21635.8473792185 
 537 , 21666.4712615935 
 538 , 21685.5135269172 
 539 , 21697.0856723977 
 540 , 21708.6541502429 
 541 , 21726.3874573543 
 542 , 21753.9259525905 
 543 , 21793.9907554248 
 544 , 21842.3285785831 
 545 , 21890.3524302606 
 546 , 21930.6917372039 
 547 , 21959.670478976 
 548 , 21974.7488721434 
 549 , 21982.4384301181 
 550 , 21997.3744877641 
 551 , 22030.6799770436 
 552 , 22077.0286859321 
 553 , 22126.7801774102 
 554 , 22175.3120466812 
 555 , 22224.3958151492 
 556 , 22275.0526835095 
 557 , 22320.770007056 
 558 , 22352.1096698191 
 559 , 22366.2170209813 
 560 , 22372.083462993 
 561 , 22379.2369516928 
 562 , 22390.3639812772 
 563 , 22404.2840969631 
 564 , 22419.8781810931 
