nm,Abs,
600.00,  0.041,
599.00,  0.042,
598.00,  0.043,
597.00,  0.044,
596.00,  0.045,
595.00,  0.045,
594.00,  0.046,
593.00,  0.047,
592.00,  0.048,
591.00,  0.049,
590.00,  0.050,
589.00,  0.051,
588.00,  0.052,
587.00,  0.053,
586.00,  0.054,
585.00,  0.054,
584.00,  0.056,
583.00,  0.057,
582.00,  0.058,
581.00,  0.059,
580.00,  0.060,
579.00,  0.061,
578.00,  0.061,
577.00,  0.062,
576.00,  0.063,
575.00,  0.064,
574.00,  0.065,
573.00,  0.066,
572.00,  0.066,
571.00,  0.067,
570.00,  0.068,
569.00,  0.069,
568.00,  0.070,
567.00,  0.071,
566.00,  0.072,
565.00,  0.072,
564.00,  0.073,
563.00,  0.074,
562.00,  0.075,
561.00,  0.076,
560.00,  0.077,
559.00,  0.077,
558.00,  0.078,
557.00,  0.079,
556.00,  0.080,
555.00,  0.080,
554.00,  0.081,
553.00,  0.082,
552.00,  0.083,
551.00,  0.084,
550.00,  0.084,
549.00,  0.085,
548.00,  0.086,
547.00,  0.087,
546.00,  0.087,
545.00,  0.088,
544.00,  0.089,
543.00,  0.090,
542.00,  0.090,
541.00,  0.091,
540.00,  0.092,
539.00,  0.093,
538.00,  0.094,
537.00,  0.095,
536.00,  0.095,
535.00,  0.096,
534.00,  0.097,
533.00,  0.098,
532.00,  0.098,
531.00,  0.099,
530.00,  0.100,
529.00,  0.100,
528.00,  0.101,
527.00,  0.101,
526.00,  0.102,
525.00,  0.102,
524.00,  0.103,
523.00,  0.103,
522.00,  0.104,
521.00,  0.104,
520.00,  0.105,
519.00,  0.105,
518.00,  0.105,
517.00,  0.106,
516.00,  0.106,
515.00,  0.106,
514.00,  0.106,
513.00,  0.106,
512.00,  0.107,
511.00,  0.107,
510.00,  0.107,
509.00,  0.107,
508.00,  0.107,
507.00,  0.107,
506.00,  0.107,
505.00,  0.107,
504.00,  0.107,
503.00,  0.106,
502.00,  0.106,
501.00,  0.106,
500.00,  0.106,
499.00,  0.106,
498.00,  0.106,
497.00,  0.106,
496.00,  0.106,
495.00,  0.105,
494.00,  0.105,
493.00,  0.105,
492.00,  0.105,
491.00,  0.105,
490.00,  0.104,
489.00,  0.104,
488.00,  0.104,
487.00,  0.104,
486.00,  0.104,
485.00,  0.104,
484.00,  0.103,
483.00,  0.103,
482.00,  0.103,
481.00,  0.103,
480.00,  0.103,
479.00,  0.103,
478.00,  0.103,
477.00,  0.103,
476.00,  0.103,
475.00,  0.103,
474.00,  0.103,
473.00,  0.103,
472.00,  0.103,
471.00,  0.102,
470.00,  0.103,
469.00,  0.103,
468.00,  0.103,
467.00,  0.102,
466.00,  0.102,
465.00,  0.103,
464.00,  0.102,
463.00,  0.102,
462.00,  0.102,
461.00,  0.103,
460.00,  0.103,
459.00,  0.102,
458.00,  0.102,
457.00,  0.102,
456.00,  0.102,
455.00,  0.103,
454.00,  0.103,
453.00,  0.102,
452.00,  0.103,
451.00,  0.103,
450.00,  0.103,
449.00,  0.103,
448.00,  0.103,
447.00,  0.103,
446.00,  0.103,
445.00,  0.103,
444.00,  0.103,
443.00,  0.103,
442.00,  0.104,
441.00,  0.104,
440.00,  0.104,
439.00,  0.104,
438.00,  0.104,
437.00,  0.104,
436.00,  0.105,
435.00,  0.104,
434.00,  0.104,
433.00,  0.104,
432.00,  0.104,
431.00,  0.104,
430.00,  0.105,
429.00,  0.104,
428.00,  0.104,
427.00,  0.105,
426.00,  0.105,
425.00,  0.105,
424.00,  0.105,
423.00,  0.105,
422.00,  0.105,
421.00,  0.105,
420.00,  0.106,
419.00,  0.105,
418.00,  0.106,
417.00,  0.106,
416.00,  0.106,
415.00,  0.107,
414.00,  0.107,
413.00,  0.108,
412.00,  0.109,
411.00,  0.109,
410.00,  0.110,
409.00,  0.110,
408.00,  0.111,
407.00,  0.112,
406.00,  0.112,
405.00,  0.113,
404.00,  0.114,
403.00,  0.115,
402.00,  0.115,
401.00,  0.117,
400.00,  0.118,
399.00,  0.120,
398.00,  0.120,
397.00,  0.122,
396.00,  0.124,
395.00,  0.125,
394.00,  0.127,
393.00,  0.128,
392.00,  0.131,
391.00,  0.132,
390.00,  0.134,
389.00,  0.136,
388.00,  0.138,
387.00,  0.140,
386.00,  0.142,
385.00,  0.145,
384.00,  0.147,
383.00,  0.149,
382.00,  0.151,
381.00,  0.154,
380.00,  0.156,
379.00,  0.159,
378.00,  0.162,
377.00,  0.164,
376.00,  0.167,
375.00,  0.170,
374.00,  0.173,
373.00,  0.177,
372.00,  0.181,
371.00,  0.185,
370.00,  0.189,
369.00,  0.193,
368.00,  0.198,
367.00,  0.203,
366.00,  0.206,
365.00,  0.210,
364.00,  0.217,
363.00,  0.223,
362.00,  0.228,
361.00,  0.235,
360.00,  0.240,
359.00,  0.248,
358.00,  0.259,
357.00,  0.265,
356.00,  0.270,
355.00,  0.283,
354.00,  0.282,
353.00,  0.297,
352.00,  0.312,
351.00,  0.319,
350.00,  0.323,
349.00,  0.339,
348.00,  0.353,
347.00,  0.362,
346.00,  0.372,
345.00,  0.390,
344.00,  0.403,
343.00,  0.415,
342.00,  0.438,
341.00,  0.436,
340.00,  0.457,
339.00,  0.468,
338.00,  0.497,
337.00,  0.499,
336.00,  0.521,
335.00,  0.532,
334.00,  0.544,
333.00,  0.553,
332.00,  0.567,
331.00,  0.570,
330.00,  0.607,
329.00,  0.603,
328.00,  0.610,
327.00,  0.629,
326.00,  0.629,
325.00,  0.638,
324.00,  0.665,
323.00,  0.665,
322.00,  0.679,
321.00,  0.688,
320.00,  0.702,
319.00,  0.707,
318.00,  0.718,
317.00,  0.737,
316.00,  0.738,
315.00,  0.753,
314.00,  0.763,
313.00,  0.759,
312.00,  0.786,
311.00,  0.797,
310.00,  0.799,
309.00,  0.807,
308.00,  0.831,
307.00,  0.840,
306.00,  0.831,
305.00,  0.858,
304.00,  0.868,
303.00,  0.867,
302.00,  0.881,
301.00,  0.888,
300.00,  0.894,
299.00,  0.916,
298.00,  0.926,
297.00,  0.928,
296.00,  0.933,
295.00,  1.014,
294.00,  1.039,
293.00,  1.070,
292.00,  1.099,
291.00,  1.135,
290.00,  1.184,
289.00,  1.236,
288.00,  1.286,
287.00,  1.333,
286.00,  1.382,
285.00,  1.416,
284.00,  1.445,
283.00,  1.471,
282.00,  1.489,
281.00,  1.503,
280.00,  1.513,
279.00,  1.518,
278.00,  1.519,
277.00,  1.519,
276.00,  1.516,
275.00,  1.509,
274.00,  1.499,
273.00,  1.486,
272.00,  1.470,
271.00,  1.450,
270.00,  1.428,
269.00,  1.404,
268.00,  1.380,
267.00,  1.361,
266.00,  1.348,
265.00,  1.322,
264.00,  1.304,
263.00,  1.288,
262.00,  1.275,
261.00,  1.267,
260.00,  1.264,
259.00,  1.266,
258.00,  1.272,
257.00,  1.284,
256.00,  1.303,
255.00,  1.328,
254.00,  1.369,
253.00,  1.412,
252.00,  1.468,
251.00,  1.533,
250.00,  1.612,
249.00,  1.703,
248.00,  1.809,
247.00,  1.932,
246.00,  2.063,
245.00,  2.215,
244.00,  2.364,
243.00,  2.523,
242.00,  2.669,
241.00,  2.773,
240.00,  2.923,
239.00,  3.051,
238.00,  3.146,
237.00,  3.245,
236.00,  3.345,
235.00,  3.416,
234.00,  3.537,
233.00,  3.453,
232.00,  3.419,
231.00,  3.495,
230.00,  3.414,
229.00,  3.427,
228.00,  3.404,
227.00,  3.413,
226.00,  3.402,
225.00,  3.389,
224.00,  3.319,
223.00,  3.395,
222.00,  3.631,
221.00,  3.574,
220.00,  3.573,
219.00,  3.400,
218.00,  3.346,
217.00,  3.405,
216.00,  3.279,
215.00,  3.343,
214.00,  3.222,
213.00,  3.315,
212.00,  3.138,
211.00,  3.209,
210.00,  3.172,
209.00,  3.227,
208.00,  3.128,
207.00,  3.239,
206.00,  3.255,
205.00,  3.201,
204.00,  3.100,
203.00,  3.056,
202.00,  3.039,
201.00,  3.067,
200.00,  3.061,
199.00,  2.988,
198.00,  2.852,
197.00,  2.910,
196.00,  2.801,
195.00,  2.779,
194.00,  2.604,
193.00,  2.620,
192.00,  2.451,
191.00,  2.406,
190.00,  2.166,
