nm,Abs,
600.00,  0.038,
599.00,  0.039,
598.00,  0.040,
597.00,  0.041,
596.00,  0.041,
595.00,  0.042,
594.00,  0.043,
593.00,  0.043,
592.00,  0.045,
591.00,  0.045,
590.00,  0.046,
589.00,  0.047,
588.00,  0.048,
587.00,  0.049,
586.00,  0.050,
585.00,  0.051,
584.00,  0.051,
583.00,  0.053,
582.00,  0.053,
581.00,  0.055,
580.00,  0.055,
579.00,  0.056,
578.00,  0.057,
577.00,  0.058,
576.00,  0.059,
575.00,  0.060,
574.00,  0.060,
573.00,  0.061,
572.00,  0.062,
571.00,  0.063,
570.00,  0.063,
569.00,  0.064,
568.00,  0.065,
567.00,  0.066,
566.00,  0.067,
565.00,  0.068,
564.00,  0.068,
563.00,  0.069,
562.00,  0.070,
561.00,  0.070,
560.00,  0.072,
559.00,  0.072,
558.00,  0.073,
557.00,  0.074,
556.00,  0.075,
555.00,  0.075,
554.00,  0.076,
553.00,  0.077,
552.00,  0.078,
551.00,  0.078,
550.00,  0.079,
549.00,  0.079,
548.00,  0.080,
547.00,  0.081,
546.00,  0.082,
545.00,  0.083,
544.00,  0.084,
543.00,  0.084,
542.00,  0.085,
541.00,  0.085,
540.00,  0.087,
539.00,  0.088,
538.00,  0.088,
537.00,  0.088,
536.00,  0.089,
535.00,  0.090,
534.00,  0.091,
533.00,  0.092,
532.00,  0.092,
531.00,  0.093,
530.00,  0.094,
529.00,  0.094,
528.00,  0.095,
527.00,  0.095,
526.00,  0.096,
525.00,  0.096,
524.00,  0.097,
523.00,  0.097,
522.00,  0.097,
521.00,  0.098,
520.00,  0.098,
519.00,  0.099,
518.00,  0.099,
517.00,  0.100,
516.00,  0.100,
515.00,  0.100,
514.00,  0.100,
513.00,  0.100,
512.00,  0.101,
511.00,  0.101,
510.00,  0.101,
509.00,  0.101,
508.00,  0.101,
507.00,  0.101,
506.00,  0.101,
505.00,  0.101,
504.00,  0.101,
503.00,  0.101,
502.00,  0.101,
501.00,  0.101,
500.00,  0.101,
499.00,  0.101,
498.00,  0.100,
497.00,  0.101,
496.00,  0.101,
495.00,  0.100,
494.00,  0.100,
493.00,  0.100,
492.00,  0.100,
491.00,  0.100,
490.00,  0.100,
489.00,  0.100,
488.00,  0.100,
487.00,  0.099,
486.00,  0.099,
485.00,  0.099,
484.00,  0.099,
483.00,  0.099,
482.00,  0.099,
481.00,  0.099,
480.00,  0.099,
479.00,  0.099,
478.00,  0.099,
477.00,  0.099,
476.00,  0.099,
