nm,Abs,
600.00,  0.040,
599.00,  0.041,
598.00,  0.041,
597.00,  0.042,
596.00,  0.043,
595.00,  0.044,
594.00,  0.045,
593.00,  0.045,
592.00,  0.046,
591.00,  0.047,
590.00,  0.048,
589.00,  0.049,
588.00,  0.050,
587.00,  0.051,
586.00,  0.052,
585.00,  0.053,
584.00,  0.054,
583.00,  0.055,
582.00,  0.056,
581.00,  0.057,
580.00,  0.058,
579.00,  0.059,
578.00,  0.060,
577.00,  0.060,
576.00,  0.061,
575.00,  0.062,
574.00,  0.063,
573.00,  0.064,
572.00,  0.065,
571.00,  0.065,
570.00,  0.066,
569.00,  0.067,
568.00,  0.068,
567.00,  0.069,
566.00,  0.070,
565.00,  0.070,
564.00,  0.071,
563.00,  0.072,
562.00,  0.073,
561.00,  0.073,
560.00,  0.074,
559.00,  0.075,
558.00,  0.076,
557.00,  0.077,
556.00,  0.077,
555.00,  0.078,
554.00,  0.079,
553.00,  0.080,
552.00,  0.080,
551.00,  0.081,
550.00,  0.082,
549.00,  0.082,
548.00,  0.083,
547.00,  0.084,
546.00,  0.085,
545.00,  0.086,
544.00,  0.086,
543.00,  0.087,
542.00,  0.088,
541.00,  0.089,
540.00,  0.090,
539.00,  0.091,
538.00,  0.091,
537.00,  0.092,
536.00,  0.093,
535.00,  0.094,
534.00,  0.094,
533.00,  0.095,
532.00,  0.096,
531.00,  0.096,
530.00,  0.097,
529.00,  0.097,
528.00,  0.099,
527.00,  0.099,
526.00,  0.099,
525.00,  0.100,
524.00,  0.100,
523.00,  0.101,
522.00,  0.101,
521.00,  0.101,
520.00,  0.102,
519.00,  0.102,
518.00,  0.102,
517.00,  0.103,
516.00,  0.103,
515.00,  0.103,
514.00,  0.104,
513.00,  0.104,
512.00,  0.104,
511.00,  0.104,
510.00,  0.104,
509.00,  0.104,
508.00,  0.104,
507.00,  0.104,
506.00,  0.104,
505.00,  0.104,
504.00,  0.104,
503.00,  0.104,
502.00,  0.104,
501.00,  0.104,
500.00,  0.104,
499.00,  0.103,
498.00,  0.103,
497.00,  0.103,
496.00,  0.103,
495.00,  0.103,
494.00,  0.102,
493.00,  0.102,
492.00,  0.102,
491.00,  0.102,
490.00,  0.102,
489.00,  0.102,
488.00,  0.102,
487.00,  0.101,
486.00,  0.101,
485.00,  0.101,
484.00,  0.101,
483.00,  0.101,
482.00,  0.101,
481.00,  0.101,
480.00,  0.101,
479.00,  0.101,
478.00,  0.101,
477.00,  0.101,
476.00,  0.100,
475.00,  0.100,
474.00,  0.100,
473.00,  0.100,
472.00,  0.100,
471.00,  0.100,
470.00,  0.100,
469.00,  0.100,
468.00,  0.100,
467.00,  0.100,
466.00,  0.100,
465.00,  0.100,
464.00,  0.100,
463.00,  0.100,
462.00,  0.100,
461.00,  0.100,
460.00,  0.100,
459.00,  0.100,
458.00,  0.100,
457.00,  0.100,
456.00,  0.100,
455.00,  0.101,
454.00,  0.100,
453.00,  0.100,
452.00,  0.101,
451.00,  0.101,
450.00,  0.101,
449.00,  0.101,
