nm,Abs,
600.00,  0.037,
599.00,  0.039,
598.00,  0.039,
597.00,  0.040,
596.00,  0.041,
595.00,  0.041,
594.00,  0.042,
593.00,  0.043,
592.00,  0.044,
591.00,  0.045,
590.00,  0.046,
589.00,  0.046,
588.00,  0.047,
587.00,  0.049,
586.00,  0.049,
585.00,  0.050,
584.00,  0.051,
583.00,  0.052,
582.00,  0.053,
581.00,  0.054,
580.00,  0.055,
579.00,  0.056,
578.00,  0.056,
577.00,  0.057,
576.00,  0.058,
575.00,  0.059,
574.00,  0.060,
573.00,  0.060,
572.00,  0.061,
571.00,  0.062,
570.00,  0.063,
569.00,  0.063,
568.00,  0.064,
567.00,  0.065,
566.00,  0.066,
565.00,  0.067,
564.00,  0.068,
563.00,  0.069,
562.00,  0.069,
561.00,  0.070,
560.00,  0.071,
559.00,  0.071,
558.00,  0.072,
557.00,  0.073,
556.00,  0.074,
555.00,  0.074,
554.00,  0.075,
553.00,  0.076,
552.00,  0.077,
551.00,  0.077,
550.00,  0.078,
549.00,  0.079,
548.00,  0.080,
547.00,  0.080,
546.00,  0.081,
545.00,  0.082,
544.00,  0.082,
543.00,  0.083,
542.00,  0.084,
541.00,  0.085,
540.00,  0.086,
539.00,  0.087,
538.00,  0.087,
537.00,  0.087,
536.00,  0.089,
535.00,  0.089,
534.00,  0.090,
533.00,  0.090,
532.00,  0.091,
531.00,  0.092,
530.00,  0.093,
529.00,  0.093,
528.00,  0.094,
527.00,  0.094,
526.00,  0.095,
525.00,  0.095,
524.00,  0.095,
523.00,  0.096,
522.00,  0.096,
521.00,  0.097,
520.00,  0.097,
519.00,  0.097,
518.00,  0.098,
517.00,  0.098,
516.00,  0.099,
515.00,  0.099,
514.00,  0.099,
513.00,  0.099,
512.00,  0.100,
511.00,  0.100,
510.00,  0.100,
509.00,  0.100,
508.00,  0.100,
507.00,  0.100,
506.00,  0.100,
505.00,  0.100,
504.00,  0.100,
503.00,  0.100,
502.00,  0.100,
501.00,  0.100,
500.00,  0.100,
499.00,  0.100,
498.00,  0.100,
497.00,  0.100,
496.00,  0.099,
495.00,  0.099,
494.00,  0.099,
